Timestamp,Sensor1,Sensor2,Sensor3,Sensor4,Label
540857,840,890,54,208,idle
540962,830,885,52,206,idle
541067,826,884,50,205,idle
541172,829,881,48,218,idle
541277,829,876,49,215,idle
541383,820,874,48,202,idle
541488,824,874,46,179,idle
541593,842,880,43,166,idle
541698,848,887,42,182,idle
541804,845,900,43,188,idle
541909,840,901,39,230,idle
542014,831,914,57,348,idle
542119,863,940,802,684,lifted
542224,868,921,943,712,lifted
542330,862,929,968,787,lifted
542435,938,985,998,823,lifted
542540,913,955,1001,792,lifted
542645,912,958,1014,867,lifted
542751,914,952,1016,852,lifted
542856,902,975,1008,821,lifted
542961,874,947,1002,797,lifted
543066,879,955,1004,790,lifted
543172,907,960,1007,841,lifted
543277,920,941,810,828,lifted
543382,973,955,1018,891,lifted
543487,934,928,1010,794,lifted
543593,940,959,1010,772,lifted
543698,946,411,1005,784,bouncing
543803,915,972,1016,814,lifted
543908,917,938,1010,773,lifted
544013,902,917,1008,688,lifted
544119,892,938,1011,774,lifted
544224,897,952,1011,751,lifted
544330,910,957,1009,93,onheels
544435,905,942,995,71,onheels
544540,882,937,984,68,onheels
544645,895,941,979,65,onheels
544750,869,936,1006,86,onheels
544856,895,931,1012,595,lifted
544961,907,922,1011,670,lifted
545066,909,928,1013,686,lifted
545171,917,939,1018,110,onheels
545276,906,915,1011,82,onheels
545381,893,934,1013,70,onheels
545486,883,938,1010,65,onheels
545592,875,930,1013,70,onheels
545697,897,925,1015,77,onheels
545802,878,930,1015,75,onheels
545908,900,936,1014,74,onheels
546013,904,944,1016,77,onheels
546118,890,938,1019,71,onheels
546224,880,932,1011,86,onheels
546329,878,937,1008,85,onheels
546434,877,936,1007,339,onheels
546540,920,945,1009,689,lifted
546645,921,954,1017,742,lifted
546751,935,983,1017,732,lifted
546856,903,958,1010,737,lifted
546961,900,945,1012,753,lifted
547066,894,939,1015,759,lifted
547171,938,922,1007,749,lifted
547276,954,951,1018,755,lifted
547382,905,935,1010,747,lifted
547487,898,934,1013,772,lifted
547592,927,927,1019,800,lifted
547697,971,691,1015,872,lifted
547802,900,968,1007,775,lifted
547907,875,965,1012,754,lifted
548012,874,960,1008,744,lifted
548118,859,949,1008,757,lifted
548433,976,850,1022,930,lifted
548538,905,945,1018,791,lifted
548643,895,930,1009,781,lifted
548748,928,939,1016,772,lifted
548853,889,970,1020,776,lifted
548958,902,934,1014,753,lifted
549064,878,935,1009,739,lifted
549169,864,914,1014,730,lifted
549274,882,947,1020,727,lifted
549379,871,935,1022,161,onheels
549485,905,926,1017,112,onheels
549590,921,909,1014,96,onheels
549695,908,910,1011,79,onheels
549801,936,922,1011,71,onheels
549906,907,918,1016,76,onheels
550011,894,911,1015,77,onheels
550116,877,909,1013,81,onheels
550221,888,919,1018,90,onheels
550326,877,924,1016,375,onheels
550431,872,927,1011,705,lifted
550537,876,932,1018,731,lifted
550642,881,937,1013,113,onheels
550747,857,928,1007,85,onheels
550852,851,928,1009,78,onheels
550957,843,925,1007,84,onheels
551063,844,936,1007,89,onheels
551378,901,908,1015,751,lifted
551483,915,966,1015,780,lifted
551588,906,936,1011,772,lifted
551694,927,916,1014,785,lifted
551799,919,932,1012,816,lifted
551904,927,914,1013,848,lifted
552009,931,904,1005,816,lifted
552114,938,972,1022,813,lifted
552220,905,945,1011,780,lifted
552325,902,942,1012,762,lifted
552430,892,955,1016,779,lifted
552535,887,950,1008,781,lifted
552640,898,943,1018,762,lifted
552745,903,939,1009,748,lifted
552851,883,932,1005,744,lifted
552956,867,928,1002,733,lifted
553062,858,925,998,720,lifted
553167,856,926,1009,722,lifted
553272,952,925,1008,801,lifted
553377,873,956,1010,748,lifted
553483,929,953,1006,762,lifted
553588,921,939,1015,765,lifted
553693,930,917,1008,796,lifted
553798,928,987,1009,805,lifted
553904,891,955,1009,777,lifted
554009,862,957,1009,776,lifted
554114,863,953,1011,757,lifted
554219,880,940,1011,746,lifted
554324,897,928,1012,754,lifted
554430,906,914,1012,787,lifted
554535,906,920,1010,756,lifted
554640,941,940,1015,790,lifted
554745,898,921,1009,774,lifted
554851,892,922,1008,779,lifted
554956,894,936,1011,768,lifted
555061,901,922,1011,761,lifted
555167,969,977,1008,827,lifted
555272,871,895,1010,736,lifted
555377,869,932,1006,725,lifted
555483,877,937,1009,724,lifted
555588,904,914,1016,718,lifted
555693,940,559,1004,856,bouncing
555798,900,903,1010,722,lifted
555903,900,925,1015,736,lifted
556008,894,909,1001,749,lifted
556114,880,912,1011,220,onheels
556219,903,891,1014,88,onheels
556324,906,897,1012,83,onheels
556429,911,894,1012,74,onheels
556534,920,895,1013,69,onheels
556640,908,886,1013,63,onheels
556745,895,894,1015,71,onheels
556850,890,910,1013,79,onheels
556955,881,912,1012,74,onheels
557060,869,902,1008,87,onheels
557165,863,907,1009,95,onheels
557271,872,903,1007,90,onheels
557376,879,892,1009,80,onheels
557481,867,890,1008,75,onheels
557586,859,900,1009,79,onheels
557691,856,909,1010,85,onheels
557797,869,925,1011,430,lifted
557902,867,924,1007,725,lifted
558008,868,921,1012,156,onheels
558113,867,908,1007,90,onheels
558218,851,898,1006,83,onheels
558324,849,897,1005,89,onheels
558429,866,903,1007,90,onheels
558534,866,917,1011,137,onheels
558639,895,903,1014,713,lifted
558745,912,906,1014,736,lifted
558850,941,958,1020,796,lifted
558955,892,948,1013,808,lifted
559060,924,967,1015,812,lifted
559165,920,925,1011,790,lifted
559271,899,960,1011,800,lifted
559376,937,958,1014,789,lifted
559481,922,959,1017,861,lifted
559586,898,939,1015,841,lifted
559691,925,953,1007,900,lifted
559796,969,434,1007,938,bouncing
559901,900,928,1002,831,lifted
560006,875,910,1000,824,lifted
560112,859,918,1007,814,lifted
560217,869,927,1008,796,lifted
560322,875,921,1002,781,lifted
560428,879,919,1004,783,lifted
560533,894,913,1005,798,lifted
560638,972,240,1013,886,bouncing
560743,906,944,1012,802,lifted
560849,899,945,1000,788,lifted
560954,900,929,1001,797,lifted
561059,933,919,1013,828,lifted
561164,930,920,1013,794,lifted
561270,936,951,1016,796,lifted
561375,904,944,1011,797,lifted
561480,904,929,1010,782,lifted
561586,905,920,1009,776,lifted
561691,881,939,1012,761,lifted
561796,888,942,1008,753,lifted
561902,879,934,1004,741,lifted
562007,890,933,1009,519,lifted
562112,900,915,1008,141,onheels
562217,935,923,1012,115,onheels
562323,954,921,973,116,onheels
562638,912,910,881,103,onheels
562954,898,925,1000,729,lifted
563060,895,934,1009,740,lifted
563165,882,928,1007,802,lifted
563270,874,937,1006,499,lifted
563375,883,931,1000,137,onheels
563480,860,923,999,156,onheels
563585,848,923,1000,268,onheels
563690,863,921,1005,755,lifted
563796,872,917,1012,811,lifted
563901,970,283,1020,901,lifted
564006,899,931,1010,775,lifted
564111,889,956,1006,765,lifted
564216,907,954,1008,760,lifted
564321,876,951,1006,753,lifted
564426,887,938,1006,748,lifted
564531,962,976,1016,839,lifted
564636,1022,1022,1022,1021,lifted
564741,923,937,1001,754,lifted
564846,944,918,1010,748,lifted
564952,942,894,1009,781,lifted
565057,932,921,1017,793,lifted
565162,891,944,1008,760,lifted
565267,881,945,1002,750,lifted
565372,875,942,1004,752,lifted
565477,868,944,1001,749,lifted
565582,892,940,1004,754,lifted
565687,897,943,1006,771,lifted
565793,955,925,1014,767,lifted
565898,933,922,1013,766,lifted
566003,936,949,1010,841,lifted
566319,908,942,1011,834,lifted
566424,921,960,1007,820,lifted
566529,931,923,1016,790,lifted
566634,907,921,1014,795,lifted
566739,888,941,1010,818,lifted
566845,875,931,998,806,lifted
566950,863,931,1006,803,lifted
567055,890,945,1013,794,lifted
567160,955,961,1009,780,lifted
567265,900,940,1011,776,lifted
567371,901,940,1006,792,lifted
567476,891,929,1016,774,lifted
567581,907,904,1011,780,lifted
567686,926,962,1012,774,lifted
567792,908,954,1009,765,lifted
567897,894,943,1009,773,lifted
568002,901,948,1012,789,lifted
568107,895,967,1021,788,lifted
568212,902,964,1016,759,lifted
568317,863,964,1011,744,lifted
568422,905,960,1003,247,onheels
568528,924,976,1011,81,onheels
568633,906,945,1003,74,onheels
568738,881,949,1007,706,lifted
568843,892,950,1010,820,lifted
568948,897,955,1016,826,lifted
569054,934,964,1020,92,onheels
569159,927,960,971,102,onheels
569264,923,943,845,101,onheels
569369,923,937,753,95,onheels
569474,933,943,574,98,idle
569579,922,953,872,105,onheels
569685,895,946,978,84,onheels
569790,901,953,998,202,onheels
