Timestamp,Sensor1,Sensor2,Sensor3,Sensor4,Label
297347,810,788,37,91,idle
297453,817,808,37,89,idle
297558,810,802,36,89,idle
297663,815,800,36,88,idle
297768,812,790,36,88,idle
297873,810,788,36,87,idle
297978,812,791,35,90,idle
298084,809,791,37,90,idle
298189,817,802,36,91,idle
298294,818,801,35,92,idle
298399,814,794,34,92,idle
298504,809,790,34,91,idle
298609,812,789,35,91,idle
298714,809,785,34,89,idle
298819,808,788,35,88,idle
298925,807,788,34,87,idle
299030,806,788,34,86,idle
299135,804,783,34,86,idle
299240,803,779,34,86,idle
299345,801,774,34,86,idle
299398,800,771,34,86,idle
299450,800,768,34,87,idle
299555,797,766,33,87,idle
299660,796,771,32,85,idle
299765,799,783,33,87,idle
299870,802,790,34,89,idle
299975,809,794,42,87,idle
300081,807,787,41,85,idle
300186,803,790,40,86,idle
300291,805,797,42,87,idle
300396,817,797,41,85,idle
300501,815,788,39,87,idle
300606,810,785,38,90,idle
300712,809,779,36,91,idle
300817,803,777,36,91,idle
300922,803,772,37,91,idle
301028,798,767,38,90,idle
301133,797,764,38,89,idle
301238,800,763,40,89,idle
301343,797,767,40,87,idle
301396,796,766,41,87,idle
301448,795,765,42,87,idle
301553,794,763,42,86,idle
301658,794,762,41,86,idle
301763,793,760,41,85,idle
301868,792,759,41,84,idle
301973,792,758,40,84,idle
302078,791,758,41,83,idle
302184,791,756,40,85,idle
302289,794,756,40,85,idle
302394,793,752,39,85,idle
302499,796,755,39,85,idle
302604,795,750,38,84,idle
302709,794,750,38,84,idle
302814,794,749,39,83,idle
302919,794,749,39,85,idle
303025,794,749,38,85,idle
303130,792,749,38,84,idle
303235,790,747,38,84,idle
303340,788,745,38,82,idle
303445,789,746,37,83,idle
303498,789,744,36,82,idle
303551,789,743,36,82,idle
303656,789,744,37,81,idle
303761,789,743,37,81,idle
303866,790,743,37,81,idle
303971,789,742,36,82,idle
304076,789,744,37,82,idle
304181,789,746,37,82,idle
304286,789,747,37,82,idle
304391,789,749,37,82,idle
304496,788,745,37,81,idle
304602,788,747,37,82,idle
304708,790,748,36,82,idle
304813,790,749,36,81,idle
304918,790,750,37,82,idle
305023,786,749,36,83,idle
305128,788,747,35,82,idle
305233,789,754,35,82,idle
305338,789,753,36,82,idle
305443,791,761,34,83,idle
305496,792,760,34,84,idle
305548,793,760,35,84,idle
305654,795,758,35,84,idle
305759,794,754,34,85,idle
305864,791,754,35,84,idle
305969,790,752,35,84,idle
306074,789,750,35,83,idle
306179,788,748,35,83,idle
306284,791,750,34,84,idle
306389,795,750,34,84,idle
306494,794,755,34,83,idle
306599,793,755,34,84,idle
306704,793,754,33,84,idle
306809,792,754,33,85,idle
306915,791,753,33,85,idle
307020,790,751,33,85,idle
307125,789,752,33,85,idle
307230,790,750,33,85,idle
307335,791,751,33,87,idle
307440,790,753,32,86,idle
307545,790,752,33,86,idle
307598,790,753,34,86,idle
307650,789,754,34,87,idle
307756,788,753,32,86,idle
307861,791,751,32,86,idle
307966,790,749,32,86,idle
308071,786,749,33,87,idle
308176,788,744,33,87,idle
308281,787,745,33,86,idle
308386,787,743,32,85,idle
308491,788,740,32,84,idle
308597,786,741,32,86,idle
308702,787,748,32,87,idle
308807,787,739,33,88,idle
308913,788,738,32,87,idle
309018,789,743,32,86,idle
309123,789,745,33,87,idle
309228,788,745,33,86,idle
309333,786,745,33,85,idle
309438,786,741,32,85,idle
309543,786,740,33,85,idle
309596,786,740,33,85,idle
309648,785,741,33,85,idle
309754,785,741,32,84,idle
309859,784,740,32,85,idle
309964,783,740,32,85,idle
310069,782,739,32,86,idle
310174,785,740,34,88,idle
310279,793,758,36,95,idle
310384,810,768,37,101,idle
310489,808,773,36,100,idle
310594,804,760,34,100,idle
310699,798,756,35,98,idle
310804,797,759,35,96,idle
310910,794,770,34,93,idle
311015,795,766,33,90,idle
311120,794,764,33,92,idle
311225,791,763,34,94,idle
311330,791,759,33,93,idle
311435,791,758,32,92,idle
311540,788,754,33,92,idle
311619,789,752,33,91,idle
311698,790,749,33,90,idle
311776,792,746,33,89,idle
311855,793,744,33,88,idle
311961,790,743,33,87,idle
312066,788,739,33,88,idle
312171,788,735,32,86,idle
312276,786,734,33,86,idle
312381,785,733,32,86,idle
312486,786,734,33,85,idle
312591,786,734,33,85,idle
312697,785,735,34,85,idle
312802,783,733,34,84,idle
312907,781,729,33,84,idle
313012,781,727,33,84,idle
313117,778,726,32,85,idle
313222,779,726,32,85,idle
313327,779,727,32,85,idle
313432,780,727,32,85,idle
313537,779,726,32,83,idle
313642,777,724,32,84,idle
313695,778,724,31,84,idle
313748,779,724,30,84,idle
313853,778,728,32,84,idle
313958,779,736,35,85,idle
314063,779,733,34,85,idle
314168,779,731,33,84,idle
314273,779,728,32,84,idle
314378,777,725,33,84,idle
314483,776,725,33,84,idle
314588,777,725,33,84,idle
314694,776,723,32,83,idle
314799,776,724,31,82,idle
314904,775,724,31,83,idle
315009,777,724,30,82,idle
315114,780,726,30,82,idle
315219,782,727,31,83,idle
315324,785,729,31,83,idle
315429,785,727,32,85,idle
315534,787,724,30,86,idle
315639,786,725,31,87,idle
315745,787,723,30,85,idle
315798,790,724,31,86,idle
315850,794,725,32,86,idle
315955,792,722,31,86,idle
316060,794,721,31,85,idle
316165,792,720,31,85,idle
316270,791,723,34,85,idle
316376,790,721,34,84,idle
316481,790,724,33,83,idle
316586,787,722,33,84,idle
316691,785,719,33,84,idle
316796,783,722,32,83,idle
