Timestamp,Sensor1,Sensor2,Sensor3,Sensor4,Label
73712,910,925,127,65,idle
73817,907,925,119,65,idle
73923,904,921,117,62,idle
74028,899,931,103,63,idle
74133,896,927,95,61,idle
74238,889,945,78,67,idle
74343,886,931,71,71,idle
74448,886,925,59,78,idle
74553,898,940,48,147,idle
74659,927,968,878,907,lifted
74764,914,966,972,919,lifted
74869,931,963,1003,934,lifted
74975,862,964,1010,923,lifted
75080,884,942,1008,919,lifted
75185,925,946,1016,928,lifted
75290,979,948,1012,907,lifted
75396,971,951,1016,890,lifted
75501,934,922,1017,883,lifted
75606,923,919,1018,891,lifted
75711,926,938,1012,904,lifted
75817,934,942,1014,925,lifted
75922,938,951,1011,935,lifted
76027,937,943,885,947,lifted
76132,925,963,787,956,lifted
76237,911,963,258,949,lifted
76342,898,965,112,943,lifted
76447,897,937,57,339,idle
76553,884,931,49,172,idle
76658,880,920,46,126,idle
76765,887,921,45,101,idle
76870,892,926,45,84,idle
76976,889,950,46,80,idle
77081,891,933,48,74,idle
77187,884,932,47,76,idle
77292,878,935,43,72,idle
77398,872,929,38,75,idle
77503,866,920,35,76,idle
77608,867,924,32,75,idle
77713,880,926,31,75,idle
77818,880,922,31,74,idle
77923,886,921,31,75,idle
78028,879,921,31,75,idle
78133,884,924,31,79,idle
78239,888,930,27,86,idle
78344,884,946,25,123,idle
78449,874,946,49,913,lifted
78765,917,971,991,921,lifted
78870,899,946,1009,899,lifted
78976,908,966,1000,914,lifted
79081,915,937,1011,902,lifted
79186,911,925,1016,885,lifted
79291,936,930,1020,890,lifted
79396,913,959,1018,893,lifted
79501,901,942,1013,893,kick
79607,904,961,1011,924,kick
79712,902,949,222,754,kick
79817,901,938,107,277,kick
79922,904,929,72,160,kick
80027,915,927,55,109,kick
80132,917,935,47,96,kick
80237,921,927,41,88,kick
80342,916,924,41,79,kick
80447,910,927,38,69,kick
80553,904,924,34,71,kick
80658,895,922,33,67,kick
80763,901,925,31,68,kick
80868,909,941,31,77,kick
80973,912,938,30,235,kick
81078,899,931,35,763,kick
81184,897,931,31,445,kick
81289,885,931,28,159,kick
81394,895,931,29,108,kick
81499,883,923,27,95,kick
81605,880,927,27,86,kick
81710,885,943,34,78,kick
81815,883,942,37,76,kick
81920,886,938,37,77,kick
82026,878,937,37,75,kick
82131,888,921,32,285,kick
82236,906,961,603,919,kick
82341,533,963,1000,915,kick
82446,908,948,1020,916,kick
82762,960,936,1017,890,lifted
82868,931,949,1017,897,lifted
82973,941,964,1016,915,kick
83078,919,964,1012,918,kick
83183,911,964,869,938,kick
83289,889,943,167,734,kick
83394,898,953,105,218,kick
83499,907,956,86,126,kick
83604,907,957,62,104,kick
83710,904,955,55,94,kick
83815,892,951,50,84,kick
83920,901,946,48,82,kick
84025,888,941,45,80,kick
84130,886,939,45,78,kick
84235,898,942,48,75,kick
84341,890,932,46,72,kick
84446,882,928,45,73,kick
84551,870,927,43,73,kick
84656,869,924,43,71,kick
84761,872,922,45,75,kick
84866,901,925,46,80,kick
84972,886,927,44,82,kick
85077,866,930,41,83,kick
85182,881,925,41,84,kick
85287,879,932,39,89,kick
85392,883,942,37,184,kick
85497,904,972,717,915,kick
85603,904,965,973,911,kick
85708,891,991,1019,927,kick
85813,897,963,1020,921,kick
85919,831,943,1017,946,kick
86024,902,929,1015,914,kick
86129,915,932,1015,900,kick
