Timestamp,Sensor1,Sensor2,Sensor3,Sensor4,Label
209972,821,776,628,72,onheels
210078,817,774,626,71,onheels
210183,825,776,648,71,onheels
210288,834,774,639,71,onheels
210393,836,774,641,71,onheels
210498,838,775,642,72,onheels
210603,840,775,644,72,onheels
210708,836,772,639,70,onheels
210813,837,775,649,71,onheels
210918,839,779,660,72,onheels
211023,840,782,670,73,onheels
211128,833,776,662,73,onheels
211233,828,773,648,73,onheels
211339,824,773,641,71,onheels
211444,820,768,625,71,onheels
211549,821,770,618,70,onheels
211654,818,769,615,70,onheels
211759,818,766,616,74,onheels
211864,815,767,621,75,onheels
211969,815,767,625,72,onheels
212022,815,768,630,72,onheels
212074,815,768,635,73,onheels
212180,811,766,632,71,onheels
212285,811,764,627,71,onheels
212390,807,765,634,70,onheels
212495,809,764,630,70,onheels
212600,811,765,625,71,onheels
212705,810,764,621,71,onheels
212810,816,766,618,70,onheels
212915,813,769,620,71,onheels
213021,814,776,632,73,onheels
213126,811,772,655,72,onheels
213231,813,774,665,73,onheels
213336,812,772,658,71,onheels
213441,813,772,644,72,onheels
213546,812,770,649,74,onheels
213651,817,775,669,73,onheels
213757,812,772,678,72,onheels
213862,815,769,672,70,onheels
213967,817,768,667,68,onheels
214020,816,768,660,68,onheels
214072,814,767,654,69,onheels
214177,811,764,644,70,onheels
214283,809,761,632,68,onheels
214388,808,758,628,68,onheels
214493,810,760,636,70,onheels
214598,815,768,650,68,onheels
214703,813,771,656,69,onheels
214808,810,773,662,70,onheels
214913,808,776,668,71,onheels
215018,806,771,657,70,onheels
215124,807,772,652,69,onheels
215229,806,768,649,70,onheels
215334,808,772,651,73,onheels
215439,805,772,673,70,onheels
215544,809,781,674,69,onheels
215649,808,781,669,72,onheels
215754,808,772,658,70,onheels
215859,805,769,655,69,onheels
215965,802,771,670,70,onheels
216044,807,776,659,70,onheels
216122,812,780,648,70,onheels
216201,816,785,636,69,onheels
216280,821,790,625,69,onheels
216385,822,791,609,69,onheels
216490,821,790,598,70,onheels
216595,824,786,591,71,onheels
216700,823,784,587,70,onheels
216805,822,780,581,69,onheels
216910,819,777,581,71,onheels
217016,819,778,578,72,onheels
217121,818,775,575,70,onheels
217226,816,774,574,71,onheels
217331,816,774,572,71,onheels
217436,816,773,570,70,onheels
217541,816,773,567,70,onheels
217646,816,772,565,69,onheels
217751,816,772,563,69,onheels
217856,814,770,564,70,onheels
217935,814,770,562,69,onheels
218014,814,770,561,68,onheels
218093,813,770,560,66,onheels
218172,813,770,558,65,onheels
218277,813,768,559,67,onheels
218382,810,767,564,66,onheels
218487,812,768,572,68,onheels
218592,810,768,579,68,onheels
218697,810,764,584,69,onheels
218802,811,763,586,69,onheels
218907,810,759,584,68,onheels
219012,810,758,580,66,onheels
219118,812,757,584,67,onheels
219223,811,759,591,66,onheels
219328,809,758,596,65,onheels
219433,808,761,606,65,onheels
219538,808,762,612,65,onheels
219643,807,764,619,65,onheels
219748,807,765,625,65,onheels
219853,807,763,630,66,onheels
219959,807,764,622,66,onheels
220064,806,760,619,65,onheels
220169,804,759,623,65,onheels
220222,804,758,622,64,onheels
220274,803,757,620,64,onheels
220379,802,755,614,65,onheels
220484,802,758,608,66,onheels
220589,802,756,602,65,onheels
220695,800,759,597,66,onheels
220800,800,756,593,66,onheels
220905,799,752,594,66,onheels
221010,800,757,596,65,onheels
221115,800,754,598,66,onheels
221220,801,752,594,65,onheels
221325,800,754,598,65,onheels
221430,799,754,600,64,onheels
221536,799,756,600,65,onheels
221641,799,758,608,64,onheels
221746,799,755,611,65,onheels
221851,800,753,614,66,onheels
221956,800,754,613,67,onheels
222062,799,752,613,67,onheels
222167,799,748,605,67,onheels
222220,800,748,602,66,onheels
222272,802,747,600,66,onheels
222377,803,753,593,67,onheels
222482,809,751,599,69,onheels
222587,803,750,595,68,onheels
222692,799,748,585,68,onheels
222797,799,744,580,68,onheels
222902,806,746,584,69,onheels
223007,806,747,582,70,onheels
223113,807,748,581,70,onheels
223218,807,749,579,71,onheels
223323,803,753,570,71,onheels
223428,803,755,580,73,onheels
223533,797,752,600,72,onheels
223638,795,750,595,71,onheels
223743,794,749,594,69,onheels
223848,795,750,602,68,onheels
223953,799,747,606,68,onheels
224059,800,749,606,68,onheels
224164,801,751,613,68,onheels
224269,802,753,612,69,onheels
224322,802,752,611,69,onheels
224374,801,750,610,69,onheels
224479,799,747,605,69,onheels
224584,796,745,601,68,onheels
224690,795,746,596,70,onheels
224795,795,744,593,70,onheels
224900,795,741,589,70,onheels
225005,795,740,588,69,onheels
225110,793,738,587,68,onheels
225215,792,737,585,68,onheels
225320,792,736,583,68,onheels
225425,791,736,582,67,onheels
225530,791,735,580,67,onheels
225635,790,734,578,67,onheels
225740,790,733,578,67,onheels
225846,790,732,574,68,onheels
225951,789,732,576,67,onheels
226057,788,732,575,66,onheels
226162,787,738,573,67,onheels
226267,789,733,573,65,onheels
226320,789,732,574,66,onheels
226372,789,732,574,66,onheels
226477,790,741,585,66,onheels
226582,797,747,610,66,onheels
226687,797,751,616,66,onheels
226792,796,752,607,65,onheels
226897,793,767,625,67,onheels
227003,790,763,624,68,onheels
227108,789,756,602,68,onheels
227213,788,753,592,66,onheels
227318,786,742,583,67,onheels
227423,786,741,579,67,onheels
227528,784,740,576,67,onheels
227633,785,739,572,67,onheels
227738,786,737,572,67,onheels
227843,786,735,570,65,onheels
227949,787,733,569,65,onheels
228054,788,731,568,65,onheels
228159,787,729,566,66,onheels
228264,786,729,567,65,onheels
228369,786,725,569,66,onheels
228422,786,724,570,66,onheels
228474,786,722,571,66,onheels
228579,786,721,569,66,onheels
228684,785,720,566,65,onheels
228789,785,719,564,65,onheels
228895,785,718,565,64,onheels
229000,784,717,564,64,onheels
229105,784,720,564,64,onheels
229210,784,719,563,63,onheels
229315,784,719,561,63,onheels
229420,784,718,559,63,onheels
229525,784,718,557,64,onheels
229630,784,717,555,64,onheels
229736,783,716,556,64,onheels
229841,781,716,553,63,onheels
229946,783,715,553,63,onheels
230051,782,714,553,64,onheels
230156,781,715,554,64,onheels
230261,783,715,553,64,onheels
230366,782,714,555,63,onheels
230419,782,714,555,63,onheels
230472,782,713,555,63,onheels
230577,785,714,560,63,onheels
230682,784,715,560,63,onheels
230787,784,716,560,64,onheels
230892,783,714,564,66,onheels
230997,785,714,566,68,onheels
231102,783,712,563,67,onheels
231207,784,712,561,66,onheels
231312,784,712,559,66,onheels
231417,785,712,557,65,onheels
231522,784,712,557,64,onheels
231628,784,714,560,65,onheels
231733,785,715,561,65,onheels
231838,785,715,562,64,onheels
231943,785,717,563,64,onheels
232048,786,715,562,65,onheels
232153,786,715,560,66,onheels
232258,788,715,560,71,onheels
232363,793,717,560,77,onheels
232469,790,725,570,74,onheels
232522,791,724,578,73,onheels
232574,792,724,587,72,onheels
232679,792,724,591,70,onheels
232784,793,723,590,71,onheels
232889,792,721,598,71,onheels
232994,792,723,596,72,onheels
233100,792,722,596,72,onheels
233205,790,725,603,71,onheels
233310,789,724,603,70,onheels
233415,790,721,598,69,onheels
233520,788,722,600,69,onheels
233625,786,719,602,69,onheels
233731,787,718,608,70,onheels
233836,784,722,610,72,onheels
233941,787,727,626,73,onheels
234046,790,738,645,71,onheels
234151,794,750,679,71,onheels
234256,794,759,679,71,onheels
234362,793,768,678,71,onheels
234467,793,777,678,71,onheels
234520,793,788,704,72,onheels
234572,793,799,730,73,onheels
234677,793,818,750,71,onheels
234782,790,814,729,74,onheels
234887,790,804,715,71,onheels
234992,790,800,694,71,onheels
235097,789,792,677,70,onheels
235202,790,788,675,67,onheels
235307,792,783,671,70,onheels
235413,788,780,670,70,onheels
235518,788,773,662,68,onheels
235623,791,773,657,72,onheels
235728,789,768,645,71,onheels
235833,787,767,645,72,onheels
235939,786,767,644,69,onheels
236044,786,763,640,69,onheels
236149,789,759,638,68,onheels
236254,787,759,635,68,onheels
236359,786,758,632,67,onheels
236464,784,758,629,67,onheels
236569,782,758,626,69,onheels
236622,782,756,626,68,onheels
236674,783,754,625,67,onheels
236779,786,758,630,68,onheels
236884,785,756,631,69,onheels
236990,784,753,631,70,onheels
237095,783,751,632,71,onheels
237200,784,754,644,71,onheels
237305,782,757,643,70,onheels
237410,782,754,644,70,onheels
