Timestamp,Sensor1,Sensor2,Sensor3,Sensor4,Label
252986,851,805,114,605,ontoes
253092,848,792,113,596,ontoes
253197,854,789,108,592,ontoes
253302,855,792,117,588,ontoes
253407,853,785,111,577,ontoes
253512,852,775,110,571,ontoes
253617,853,779,107,570,ontoes
253722,856,776,114,572,ontoes
253828,858,774,107,569,ontoes
253933,853,767,106,568,ontoes
254038,847,762,109,566,ontoes
254143,847,773,105,564,ontoes
254248,869,786,113,560,ontoes
254354,887,802,127,560,ontoes
254459,896,800,127,563,ontoes
254564,885,786,120,557,ontoes
254669,891,808,160,549,ontoes
254774,888,808,191,542,ontoes
254853,884,811,174,542,ontoes
254932,880,814,157,543,ontoes
255010,877,816,140,544,ontoes
255089,873,819,123,544,ontoes
255195,870,808,112,543,ontoes
255300,869,806,110,552,ontoes
255405,860,798,110,551,ontoes
255510,856,801,107,555,ontoes
255615,855,800,98,556,ontoes
255720,848,786,115,551,ontoes
255826,848,775,125,556,ontoes
255931,850,779,118,550,ontoes
256036,857,796,118,544,ontoes
256141,860,797,134,546,ontoes
256246,870,814,139,547,ontoes
256351,870,808,136,543,ontoes
256456,869,802,133,538,ontoes
256561,869,796,130,534,ontoes
256666,866,799,128,529,ontoes
256772,861,789,117,525,ontoes
256878,860,781,119,521,ontoes
256983,852,784,123,528,ontoes
257036,850,790,116,532,ontoes
257088,848,795,109,536,ontoes
257193,851,801,97,539,ontoes
257299,854,807,84,541,ontoes
257404,857,813,72,544,ontoes
257509,857,810,71,540,ontoes
257614,857,805,89,537,ontoes
257719,858,804,96,534,ontoes
257824,860,804,103,531,ontoes
257929,861,803,110,528,ontoes
258034,854,791,111,522,ontoes
258140,846,777,118,519,ontoes
258245,854,789,114,518,ontoes
258350,861,785,115,517,ontoes
258455,845,784,107,514,ontoes
258560,842,781,110,515,ontoes
258665,839,775,113,511,ontoes
258770,835,772,101,511,ontoes
258875,834,771,104,510,ontoes
258981,832,767,97,510,ontoes
259034,833,762,98,508,ontoes
259086,834,758,98,506,ontoes
259191,833,756,106,505,ontoes
259296,832,756,105,504,ontoes
259401,832,756,103,504,ontoes
259506,831,756,102,503,ontoes
259611,830,759,96,504,ontoes
259716,829,764,94,501,ontoes
259821,833,762,96,499,ontoes
259926,832,760,98,500,ontoes
260032,833,758,99,500,ontoes
260137,833,757,99,502,ontoes
260242,833,758,101,500,ontoes
260347,835,768,98,500,ontoes
260452,832,760,90,499,ontoes
260557,835,760,88,500,ontoes
260662,830,756,88,499,ontoes
260768,826,749,84,498,ontoes
260873,824,747,83,497,ontoes
260978,822,748,82,500,ontoes
261083,821,744,88,501,ontoes
261170,822,749,88,500,ontoes
261258,822,754,88,499,ontoes
261346,822,759,88,498,ontoes
261433,823,764,87,497,ontoes
261520,824,769,87,496,ontoes
261608,824,774,87,495,ontoes
261713,845,802,97,492,ontoes
261818,863,790,122,493,ontoes
261924,857,787,121,487,ontoes
262029,861,771,113,488,ontoes
262134,854,770,114,485,ontoes
262239,839,775,108,481,ontoes
262344,838,783,100,486,ontoes
262449,836,781,96,486,ontoes
262555,833,778,91,486,ontoes
262660,831,776,87,486,ontoes
262765,829,768,84,483,ontoes
262870,826,772,81,484,ontoes
262975,824,772,80,485,ontoes
263080,822,773,82,487,ontoes
263185,822,779,77,487,ontoes
263238,822,778,78,486,ontoes
263291,821,778,79,485,ontoes
263396,815,770,77,484,ontoes
263501,813,769,78,485,ontoes
263606,811,763,75,484,ontoes
263711,810,767,75,483,ontoes
263817,810,764,80,484,ontoes
263922,808,763,81,484,ontoes
264027,808,766,83,484,ontoes
264132,806,767,89,484,ontoes
264237,807,768,89,485,ontoes
264342,808,772,90,484,ontoes
264447,811,769,93,484,ontoes
264552,816,764,94,484,ontoes
264658,817,756,91,481,ontoes
264763,817,756,88,480,ontoes
264868,815,754,85,478,ontoes
264973,815,752,84,476,ontoes
265078,811,757,83,476,ontoes
265183,811,759,81,476,ontoes
265236,810,760,80,476,ontoes
265288,809,760,79,475,ontoes
265393,809,754,79,475,ontoes
265499,809,756,76,474,ontoes
265604,808,755,75,474,ontoes
265709,808,755,75,475,ontoes
265814,807,754,74,475,ontoes
265919,806,755,75,474,ontoes
266024,803,756,74,472,ontoes
266129,803,751,70,471,ontoes
266234,805,750,72,470,ontoes
266339,802,749,71,469,ontoes
266444,802,750,73,469,ontoes
266549,801,748,73,468,ontoes
266655,800,746,74,468,ontoes
266760,799,744,74,467,ontoes
266865,797,741,74,468,ontoes
266970,796,746,73,467,ontoes
267075,796,750,71,466,ontoes
267180,795,755,70,465,ontoes
267285,800,764,70,467,ontoes
267364,800,763,70,466,ontoes
267442,800,762,70,466,ontoes
267521,801,761,69,466,ontoes
267600,801,760,69,465,ontoes
267706,799,757,68,465,ontoes
267811,799,754,70,464,ontoes
267916,798,754,69,464,ontoes
268021,797,753,67,465,ontoes
268126,796,753,66,465,ontoes
268231,797,749,70,465,ontoes
268337,795,750,67,464,ontoes
268442,794,751,72,466,ontoes
268547,794,750,70,465,ontoes
268652,792,743,67,465,ontoes
268757,792,741,66,464,ontoes
268863,792,741,68,464,ontoes
268968,794,741,68,464,ontoes
269073,799,745,66,464,ontoes
269178,803,742,65,464,ontoes
269283,807,742,65,465,ontoes
269336,807,741,68,466,ontoes
269389,807,740,70,466,ontoes
269494,810,741,71,466,ontoes
269599,812,741,71,467,ontoes
269704,815,742,72,467,ontoes
269809,814,749,76,467,ontoes
269914,821,770,100,467,ontoes
270019,819,768,97,465,ontoes
270124,816,765,94,464,ontoes
270229,814,763,91,462,ontoes
270334,813,760,89,460,ontoes
270439,815,764,89,459,ontoes
270544,818,762,88,458,ontoes
270650,819,764,86,459,ontoes
270755,823,769,79,458,ontoes
270860,826,763,76,457,ontoes
270965,833,764,77,457,ontoes
271070,834,761,76,458,ontoes
271175,834,757,74,458,ontoes
271280,835,754,73,459,ontoes
271385,834,753,71,459,ontoes
271472,832,752,71,458,ontoes
271560,831,751,71,458,ontoes
271648,830,750,70,458,ontoes
271735,828,750,70,457,ontoes
271822,826,749,70,456,ontoes
271910,825,748,70,456,ontoes
272016,826,753,69,455,ontoes
272121,827,749,72,455,ontoes
272226,826,745,70,456,ontoes
272331,825,743,69,453,ontoes
272436,824,743,71,453,ontoes
272541,824,743,71,454,ontoes
272646,823,743,74,454,ontoes
272752,823,744,75,453,ontoes
272857,824,741,76,453,ontoes
272962,825,740,76,454,ontoes
273067,823,743,72,454,ontoes
273172,827,750,75,455,ontoes
273251,825,750,75,455,ontoes
273330,824,750,75,455,ontoes
273409,822,750,75,455,ontoes
273488,820,750,75,455,ontoes
273593,820,748,75,455,ontoes
273698,821,746,74,455,ontoes
273803,819,744,76,454,ontoes
273908,818,743,76,453,ontoes
274013,816,743,75,453,ontoes
274118,815,742,75,452,ontoes
274223,814,740,75,452,ontoes
274328,813,739,73,452,ontoes
274433,812,736,73,452,ontoes
274539,812,736,71,453,ontoes
274644,813,735,74,452,ontoes
274749,811,735,73,452,ontoes
274854,809,736,71,451,ontoes
274959,809,737,70,450,ontoes
275064,809,740,74,450,ontoes
275169,809,742,71,449,ontoes
275274,809,739,70,449,ontoes
275380,809,742,75,450,ontoes
275485,808,740,80,452,ontoes
275564,810,740,83,453,ontoes
275642,812,740,86,454,ontoes
275721,813,740,90,456,ontoes
275800,815,740,93,457,ontoes
275905,817,746,93,457,ontoes
276010,821,744,82,453,ontoes
276115,819,740,77,454,ontoes
276220,823,749,72,454,ontoes
276325,822,746,79,453,ontoes
276431,816,753,93,451,ontoes
276536,814,751,105,453,ontoes
276641,811,745,117,454,ontoes
276746,809,742,114,458,ontoes
276851,811,745,109,457,ontoes
276957,809,743,93,452,ontoes
277062,813,745,87,451,ontoes
277167,827,751,82,450,ontoes
277272,822,750,66,448,ontoes
277377,809,746,74,447,ontoes
277482,808,755,69,448,ontoes
277535,812,760,83,448,ontoes
277588,816,766,97,448,ontoes
277693,831,798,127,458,ontoes
277798,834,794,117,462,ontoes
277903,822,779,102,453,ontoes
278008,826,777,109,457,ontoes
278113,832,785,125,464,ontoes
278218,832,787,116,464,ontoes
278323,838,783,110,466,ontoes
278429,844,781,119,468,ontoes
278534,849,781,124,465,ontoes
278639,849,776,121,463,ontoes
278744,841,774,119,456,ontoes
278849,838,773,121,458,ontoes
278954,833,771,107,456,ontoes
279059,836,775,106,454,ontoes
279164,833,776,109,453,ontoes
