Timestamp,Sensor1,Sensor2,Sensor3,Sensor4,Label
353217,851,941,969,899,unknown
353323,861,937,976,903,unknown
353428,874,933,977,904,unknown
353533,870,929,974,902,unknown
353638,863,928,978,903,unknown
353743,860,931,978,897,unknown
353848,857,932,977,899,unknown
353953,859,924,978,905,unknown
354058,876,926,981,902,unknown
354163,879,921,979,906,unknown
354268,876,919,974,907,unknown
354373,879,921,972,902,unknown
354479,883,915,961,895,unknown
354584,898,915,948,895,unknown
354689,910,913,944,898,unknown
354794,901,915,944,910,unknown
354899,895,915,940,898,unknown
355004,911,917,941,902,trick
355110,902,917,939,733,trick
355215,893,919,951,850,trick
355320,888,927,977,732,trick
355425,909,948,990,218,trick
355530,929,974,1005,262,trick
355635,911,957,390,915,trick
355740,884,964,970,917,trick
355845,890,949,1011,931,trick
355950,909,729,1018,920,trick
356056,910,941,1003,894,trick
356161,888,942,1006,892,unknown
356266,914,944,1006,886,unknown
356371,898,927,1004,882,unknown
356477,875,941,999,862,unknown
356582,868,953,1000,865,unknown
356688,888,910,1009,887,unknown
356793,880,946,1011,876,unknown
356898,897,949,1007,875,unknown
357003,893,939,1005,875,unknown
357109,870,949,1009,869,unknown
357214,864,941,1006,870,unknown
357320,864,941,1012,174,unknown
357425,868,949,1014,109,unknown
357530,880,943,1013,102,unknown
357635,897,942,1014,89,unknown
357741,911,948,1014,87,unknown
357846,893,933,1012,77,unknown
357951,891,932,1010,79,unknown
358056,887,936,1014,79,unknown
358161,902,947,1012,83,unknown
358266,911,936,1009,91,unknown
358372,911,932,1010,100,unknown
358477,904,925,1009,98,unknown
358582,905,935,1012,107,unknown
358688,896,933,1010,177,unknown
358793,884,940,996,898,unknown
358898,882,942,1011,898,unknown
359003,879,937,1007,907,unknown
359108,872,947,1000,909,unknown
359214,865,940,992,908,unknown
359319,867,940,986,901,unknown
359425,870,940,984,897,unknown
359530,869,938,988,896,unknown
359846,861,939,986,887,trick
359951,857,941,985,889,trick
360056,870,939,1004,619,trick
360161,869,946,1006,209,trick
360266,891,970,584,893,trick
360372,885,954,1012,912,trick
360477,889,941,1015,917,trick
