Timestamp,Sensor1,Sensor2,Sensor3,Sensor4,Label
95283,809,820,73,120,walking
95389,812,820,74,123,walking
95494,824,844,88,134,walking
95599,824,885,312,246,walking
95704,839,869,842,569,walking
95810,872,883,883,620,walking
95915,885,891,892,644,walking
96020,889,890,893,650,walking
96125,881,890,893,264,walking
96230,910,890,590,100,walking
96335,902,896,115,88,walking
96440,897,894,74,78,walking
96756,876,855,36,101,walking
96861,865,843,45,278,walking
96966,883,845,227,552,walking
97072,901,867,398,641,walking
97177,871,908,902,673,walking
97282,872,900,856,654,walking
97387,877,874,858,656,walking
97492,877,886,869,656,walking
97597,885,873,882,158,walking
97703,911,887,351,125,walking
97808,903,900,68,107,walking
97913,899,892,53,109,walking
98018,894,875,48,121,walking
98123,889,869,45,214,walking
98228,903,852,212,575,walking
98333,897,881,382,677,walking
98439,900,905,865,684,walking
98544,901,900,802,684,walking
98649,888,888,863,670,walking
98754,889,888,885,669,walking
98859,882,881,874,666,walking
98964,906,877,671,94,walking
99070,910,890,70,88,walking
99175,908,871,52,92,walking
99280,904,855,45,104,walking
99385,885,857,38,167,walking
99490,893,853,157,628,walking
99595,914,926,677,743,walking
99700,905,885,842,709,walking
99806,888,892,831,689,walking
99911,881,887,854,681,walking
100016,896,889,857,672,walking
100121,894,879,849,94,walking
100226,905,904,90,100,walking
100331,903,871,66,99,walking
100437,894,870,53,107,walking
100542,901,868,39,195,walking
100647,884,843,149,592,walking
100752,904,863,273,676,walking
100857,889,898,874,688,walking
100963,888,879,865,674,walking
101069,873,875,898,665,walking
101174,889,894,927,663,walking
101279,909,890,921,89,walking
101384,892,894,197,96,walking
101489,891,880,66,85,walking
101594,883,873,55,85,walking
101699,883,875,48,100,walking
101805,869,869,53,285,walking
101910,881,874,375,648,walking
102015,908,889,784,751,walking
102120,896,903,783,716,walking
102226,885,899,823,685,walking
102331,885,900,864,700,walking
102436,902,919,878,738,walking
102541,890,896,580,111,walking
102647,886,905,72,98,walking
102752,868,878,56,97,walking
102857,865,865,54,115,walking
102962,874,861,43,171,walking
103277,895,910,883,706,walking
104117,859,854,32,244,walking
104222,855,870,108,634,walking
104643,897,949,881,690,walking
104748,883,949,871,709,walking
104853,870,911,899,691,walking
104958,876,909,446,112,walking
105063,883,887,52,92,walking
105589,909,917,798,775,walking
105694,901,911,863,732,walking
105799,898,894,837,701,walking
106534,857,873,36,302,walking
106639,864,868,136,639,walking
106744,909,910,589,736,walking
106849,891,916,893,729,walking
106954,885,910,852,717,walking
109998,887,879,54,97,walking
110418,916,891,276,670,walking
110523,889,914,896,724,walking
110629,898,914,837,705,walking
110734,892,912,838,674,walking
110839,888,909,812,676,walking
110944,873,914,879,700,walking
111049,934,927,909,105,walking
111154,879,905,80,105,walking
111260,854,880,48,92,walking
111365,842,871,38,113,walking
111470,855,868,31,173,walking
111575,866,848,45,540,walking
111680,896,878,247,704,walking
111785,894,908,779,760,walking
111891,894,896,810,714,walking
111996,879,885,855,711,walking
112101,882,899,856,738,walking
112206,876,902,852,783,walking
112312,885,894,410,112,walking
112417,897,883,53,90,walking
112522,871,861,41,101,walking
112627,853,865,36,139,walking
112732,857,863,31,234,walking
112837,859,870,111,641,walking
112943,913,930,452,757,walking
113048,916,902,813,716,walking
113153,899,897,793,702,walking
113258,887,897,843,700,walking
113364,881,892,831,727,walking
113469,909,915,837,100,walking
113574,874,894,108,91,walking
113680,889,875,56,84,walking
113785,871,854,48,100,walking
113890,868,852,41,135,walking
113995,861,848,59,519,walking
114100,909,856,258,654,walking
114206,899,899,843,737,walking
114311,889,894,875,711,walking
114416,877,888,862,701,walking
114521,884,911,868,710,walking
114626,899,902,868,83,walking
114731,888,904,117,105,walking
114837,877,871,58,96,walking
114942,884,842,44,123,walking
115047,885,843,43,239,walking
115152,863,830,98,593,walking
115257,894,861,269,645,walking
115362,887,903,862,723,walking
115467,895,906,909,709,walking
115573,886,886,916,684,walking
115678,889,886,919,677,walking
115783,884,889,932,683,walking
115888,887,906,469,100,walking
115993,887,877,53,90,walking
116098,883,860,38,99,walking
116203,852,861,31,138,walking
116309,861,867,39,313,walking
116414,861,868,160,635,walking
116519,908,905,696,731,walking
116625,877,908,881,717,walking
116730,882,895,846,698,walking
116835,866,901,872,676,walking
116941,868,912,872,689,walking
117046,908,925,888,87,walking
117151,886,903,92,91,walking
117256,879,882,52,81,walking
117361,877,871,45,86,walking
117467,871,871,39,107,walking
117572,859,863,38,245,walking
117677,874,868,168,594,walking
117782,898,910,788,699,walking
117887,898,903,832,683,walking
117992,880,898,813,690,walking
118098,871,900,822,692,walking
118203,881,903,848,699,walking
118308,886,914,875,136,walking
118413,890,906,175,85,walking
