Timestamp,Sensor1,Sensor2,Sensor3,Sensor4,Label
486350,854,817,58,149,idle
486456,852,817,57,151,idle
486561,850,818,57,149,idle
486666,853,819,58,147,idle
486772,856,826,60,150,idle
486877,867,838,58,152,idle
486982,863,837,58,161,idle
487088,869,839,56,165,idle
487193,872,843,57,242,idle
487298,910,905,336,681,lifted
487404,901,902,895,677,lifted
487509,922,913,929,741,lifted
487614,941,907,960,772,lifted
487719,959,920,1000,825,lifted
487825,925,925,998,798,lifted
487930,956,911,1000,790,lifted
488035,962,879,1000,868,lifted
488140,945,964,1009,902,lifted
488245,901,935,1008,803,lifted
488351,887,929,1014,792,lifted
488456,940,934,1008,827,lifted
488561,957,267,1007,943,bouncing
488666,920,904,1003,810,lifted
488772,895,922,1003,795,lifted
488877,894,905,1011,768,lifted
488982,893,933,1005,528,lifted
489087,865,921,1011,835,lifted
489193,863,916,1004,837,lifted
489298,866,919,1005,835,lifted
489403,895,914,1001,851,lifted
489508,878,925,992,837,lifted
489614,882,952,996,87,onheels
489719,887,911,956,89,onheels
489824,907,943,232,134,idle
489930,880,924,88,154,idle
490035,876,896,65,155,idle
490140,866,894,76,158,idle
490245,858,876,59,155,idle
490351,864,883,63,166,idle
490456,871,876,59,162,idle
490561,889,870,60,157,idle
490666,910,883,75,153,idle
490771,916,898,92,149,idle
490877,898,932,395,137,idle
490982,856,927,955,135,onheels
491087,872,920,970,636,lifted
491192,838,927,976,678,lifted
491297,842,925,960,700,lifted
491402,841,914,974,729,lifted
491508,848,906,981,247,lifted
491613,871,900,979,118,lifted
491718,869,901,973,106,lifted
491823,859,898,966,103,lifted
491928,851,898,987,151,lifted
492033,865,901,988,653,lifted
492139,888,906,996,672,lifted
492244,909,905,996,724,lifted
492349,862,915,1000,715,lifted
492454,953,933,1009,700,lifted
492559,910,929,1003,716,lifted
492664,889,904,1008,743,lifted
492770,936,920,1016,789,lifted
492875,908,894,1017,789,lifted
492980,929,949,1004,782,lifted
493085,873,940,1006,753,lifted
493191,892,921,999,739,lifted
493296,893,910,1009,758,lifted
493401,946,907,1010,796,lifted
493506,957,909,1013,845,lifted
493611,972,900,1018,917,lifted
493717,907,892,1005,834,lifted
493822,901,893,1012,813,lifted
493927,893,879,1004,796,lifted
494033,893,878,1000,784,lifted
494138,878,868,1014,771,lifted
494243,893,887,1018,776,lifted
494348,883,898,1018,784,lifted
494453,869,911,1017,793,lifted
494558,873,895,1014,776,lifted
494664,868,893,1012,760,lifted
494769,862,881,1013,745,lifted
494874,934,943,1012,85,onheels
494979,901,905,1010,72,onheels
495084,886,901,1010,77,onheels
495189,876,898,1011,74,onheels
495295,867,897,1013,113,onheels
495400,879,900,1018,621,lifted
495505,895,910,1016,634,lifted
495611,883,921,1014,653,lifted
495716,887,917,1008,664,lifted
495821,896,934,1021,117,lifted
495926,879,899,996,74,onheels
496031,865,893,1010,69,onheels
496137,859,890,1013,67,onheels
496242,862,896,1012,63,onheels
496347,859,902,1012,78,onheels
496452,866,916,1009,538,lifted
496558,884,905,1004,651,lifted
496663,877,901,1009,680,lifted
496768,873,893,1010,684,lifted
496873,866,895,1010,686,lifted
496979,877,890,1009,689,lifted
497084,876,890,1007,665,lifted
497189,869,890,1003,79,onheels
497295,861,898,1003,73,onheels
497400,867,893,1004,67,onheels
497505,859,893,1003,75,onheels
497610,851,895,1008,201,onheels
497716,894,894,1005,621,lifted
497821,893,890,1015,657,lifted
497926,926,174,953,700,bouncing
498032,905,933,1011,713,lifted
498137,916,910,1010,748,lifted
498242,913,899,1008,769,lifted
498347,895,892,1003,734,lifted
498452,920,950,1014,722,lifted
498557,893,922,1008,696,lifted
498662,875,921,1008,718,lifted
498767,906,920,1007,735,lifted
498872,903,932,1012,733,lifted
498978,904,913,1015,725,lifted
499083,908,935,1013,723,lifted
499188,939,969,1016,80,onheels
499294,921,915,1014,86,onheels
499399,914,915,1016,198,onheels
499504,911,907,1010,771,lifted
499609,909,890,1011,793,lifted
499714,937,987,1016,754,lifted
499819,911,936,997,681,lifted
499924,961,917,1005,783,lifted
500029,949,855,1013,806,lifted
500135,968,870,1022,863,lifted
500240,913,955,1017,739,lifted
500346,929,949,1007,737,lifted
500451,913,923,1013,726,lifted
500556,898,924,1014,742,lifted
500661,898,918,1014,747,lifted
500767,890,914,1013,755,lifted
500872,886,911,1010,742,lifted
500977,896,926,1010,723,lifted
501083,897,927,1009,711,lifted
501188,889,928,1013,698,lifted
501293,886,923,1011,693,lifted
501398,904,937,1016,102,lifted
501504,901,919,1009,88,onheels
501609,925,907,1013,84,onheels
501714,934,900,1018,89,onheels
501820,928,896,1011,85,onheels
501925,924,898,1010,88,onheels
502030,913,888,1004,86,onheels
502135,921,891,1008,88,onheels
502241,923,894,1010,94,onheels
502346,909,903,1010,109,onheels
502451,885,919,1015,635,lifted
502556,885,916,1007,625,lifted
502661,882,912,1006,653,lifted
502766,889,913,1000,656,lifted
502871,892,921,1002,668,lifted
502976,891,911,1004,687,lifted
503081,873,906,998,91,onheels
503187,872,905,1001,74,onheels
503292,869,902,999,73,onheels
503397,866,902,997,68,onheels
503502,863,898,995,69,onheels
503607,856,900,993,72,onheels
503712,871,905,999,77,onheels
503817,895,921,998,281,onheels
503923,881,905,1003,630,lifted
504028,883,905,1013,658,lifted
504133,966,975,1015,688,lifted
504239,934,937,1006,705,lifted
504344,909,930,1013,727,lifted
504450,901,924,1013,740,lifted
504555,954,929,1011,774,lifted
504660,943,932,1019,766,lifted
504765,938,961,1014,747,lifted
504871,912,954,1004,713,lifted
504976,906,928,990,701,lifted
505082,948,913,1006,807,lifted
505187,946,718,1009,898,bouncing
505292,928,909,1007,780,lifted
505398,923,914,1012,779,lifted
505503,920,901,1013,809,lifted
505608,917,897,1016,846,lifted
505713,907,894,1017,846,lifted
505819,896,908,1019,832,lifted
505924,913,914,1013,795,lifted
506029,899,900,1015,768,lifted
506134,874,892,1012,760,lifted
506239,898,895,1016,775,lifted
506344,909,895,1013,744,lifted
506450,994,939,1005,846,lifted
506555,905,910,1014,733,lifted
506660,923,924,1004,738,lifted
506765,940,901,1017,751,lifted
506870,953,328,1019,922,bouncing
506975,931,965,1011,809,lifted
507080,888,971,1010,782,lifted
507186,874,946,1012,773,lifted
