Timestamp,Sensor1,Sensor2,Sensor3,Sensor4,Label
19265,855,834,100,85,idle
19371,852,832,105,85,idle
19476,850,827,102,82,idle
19581,856,829,90,82,idle
19686,861,839,85,83,idle
19792,863,844,81,85,idle
19897,863,858,74,88,idle
20002,861,846,68,89,idle
20107,858,833,65,89,idle
20212,854,819,58,88,idle
20317,849,814,59,86,idle
20422,846,818,55,87,idle
20527,845,826,52,87,idle
20632,842,825,51,88,idle
20737,840,816,50,87,idle
20842,839,809,49,87,idle
20947,834,807,49,86,idle
21053,832,804,50,87,idle
21158,830,804,49,85,idle
21263,829,811,50,85,idle
21316,828,810,50,84,idle
21368,827,809,50,84,idle
21473,826,806,49,83,idle
21578,825,804,47,84,idle
21683,824,802,48,83,idle
21788,823,804,47,82,idle
21893,823,809,48,83,idle
21999,826,804,46,83,idle
22104,826,801,46,83,idle
22209,823,799,46,81,idle
22314,825,798,47,82,idle
22419,821,792,46,81,idle
22524,823,796,45,83,idle
22629,825,799,45,84,idle
22734,825,803,46,86,idle
22839,825,805,46,86,idle
22944,825,807,47,85,idle
23050,825,803,45,86,idle
23155,822,796,45,84,idle
23260,823,796,45,84,idle
23312,823,794,45,84,idle
23365,823,793,45,84,idle
23470,822,798,45,83,idle
23576,818,794,44,83,idle
23681,818,792,44,83,idle
23786,818,791,44,83,idle
23891,817,790,45,83,idle
23996,817,789,45,83,idle
24101,818,785,45,82,idle
24206,817,784,44,83,idle
24311,817,786,44,81,idle
24416,815,784,46,83,idle
24521,818,783,45,81,idle
24626,819,784,45,81,idle
24731,819,781,44,82,idle
24837,819,783,44,82,idle
24942,820,780,44,83,idle
25047,818,784,43,83,idle
25152,817,780,43,83,idle
25257,816,802,48,82,idle
25362,820,810,43,84,idle
25414,820,808,42,84,idle
25467,820,805,40,85,idle
25573,819,801,38,85,idle
25678,817,799,37,84,idle
25783,818,819,37,85,idle
25888,822,826,35,88,idle
25993,826,829,34,89,idle
26098,828,828,31,88,idle
26203,823,822,30,88,idle
26308,824,814,29,89,idle
26413,821,812,31,88,idle
26518,817,807,35,86,idle
26623,816,821,37,87,idle
26729,813,811,38,84,idle
26834,811,813,37,85,idle
