Timestamp,Sensor1,Sensor2,Sensor3,Sensor4,Label
16208,910,955,988,901,lifted
16313,895,953,998,897,lifted
16418,882,956,996,912,lifted
16523,874,944,994,921,lifted
16628,878,956,998,923,lifted
16733,891,955,594,230,lifted
16838,896,969,310,114,idle
16943,881,956,102,86,idle
17049,881,948,51,82,idle
17154,877,942,40,82,idle
17259,877,950,40,77,idle
17365,864,936,37,82,idle
17470,866,962,204,903,ontoes
17575,874,970,969,922,lifted
17680,891,975,973,934,lifted
17785,881,967,989,937,lifted
17891,857,969,996,922,lifted
17996,879,970,999,922,lifted
18101,901,972,1012,955,lifted
18206,890,968,991,933,lifted
18312,886,965,1008,914,lifted
18417,886,967,1009,905,lifted
18522,892,963,1008,902,lifted
18627,887,957,997,890,lifted
18732,895,963,1005,899,lifted
18838,886,955,1003,890,lifted
18943,892,951,1001,890,lifted
19048,883,964,1005,891,lifted
19364,896,963,1009,904,lifted
19470,865,954,1009,884,lifted
19575,871,956,1008,879,lifted
19680,879,965,1007,884,lifted
19785,858,946,1004,880,lifted
19891,849,936,1003,881,lifted
19996,854,949,1004,882,lifted
20101,860,956,1011,890,lifted
20206,859,953,1011,877,lifted
20312,854,951,1014,876,lifted
20417,870,953,1010,881,lifted
20522,874,962,1008,872,lifted
20627,867,964,1010,893,lifted
20732,854,971,1004,906,lifted
20837,848,965,999,956,lifted
20942,875,968,204,192,idle
21048,905,965,191,113,idle
21153,896,973,218,90,idle
21258,898,954,191,80,idle
21363,898,956,148,74,idle
21468,893,953,125,69,idle
21573,888,948,114,67,idle
21678,882,944,85,69,idle
21784,881,948,69,67,idle
21889,879,949,62,72,idle
21994,876,937,57,663,ontoes
22099,913,970,919,900,lifted
22204,900,975,988,914,lifted
22309,889,969,1000,926,lifted
22415,860,966,1014,915,lifted
22520,883,949,1012,908,lifted
22625,913,963,1020,920,lifted
22730,894,948,1015,898,lifted
22835,888,937,1015,881,lifted
23151,894,934,1013,867,lifted
23256,890,941,1012,875,lifted
23362,903,964,1009,906,lifted
23467,893,959,1003,910,lifted
23573,876,958,1008,912,lifted
23678,886,975,1019,931,lifted
23783,868,964,1008,918,lifted
23888,871,959,1014,912,lifted
23993,879,953,1014,909,lifted
24098,875,934,997,900,lifted
24203,905,939,1002,901,lifted
24309,914,952,997,916,lifted
24414,935,939,1002,920,lifted
24519,910,940,1005,919,lifted
24624,912,940,1001,911,kick
24729,917,960,991,903,kick
24835,910,960,692,149,kick
24940,910,960,646,106,kick
25046,904,965,528,82,kick
25151,896,971,443,71,kick
25256,890,968,142,65,kick
25361,885,948,107,64,kick
25466,876,946,60,66,kick
25572,889,932,54,168,kick
25677,897,966,983,915,kick
25782,877,957,982,917,kick
25887,856,977,1006,918,kick
25993,294,978,1014,922,kick
26098,214,961,1016,934,kick
26203,880,942,1015,929,kick
26308,896,934,1014,906,kick
26413,893,941,1018,902,lifted
26518,891,957,1013,896,lifted
26624,887,958,1013,912,lifted
26729,884,945,1015,910,lifted
26834,872,943,1008,913,lifted
26939,908,946,1007,910,lifted
27044,900,957,1012,935,lifted
27150,877,968,1008,930,lifted
27255,903,970,1018,939,lifted
27360,871,960,1011,924,lifted
27465,877,951,1010,926,lifted
27570,898,941,1015,939,lifted
27676,883,939,1011,933,lifted
27781,868,936,1001,910,lifted
27886,899,935,1006,912,lifted
27991,888,940,1008,927,lifted
28097,899,946,1011,938,lifted
28202,915,946,1006,939,lifted
28307,906,940,999,940,lifted
28412,897,939,1000,845,lifted
28517,912,962,623,137,lifted
28622,908,965,318,101,idle
28728,904,970,209,82,idle
28833,899,965,119,74,idle
28938,889,952,114,70,idle
29043,880,944,105,64,idle
29148,884,935,175,69,idle
29253,877,939,117,69,idle
29359,870,936,84,68,idle
29464,863,933,68,66,idle
29569,865,946,60,69,idle
29674,875,944,55,75,idle
29779,887,942,37,158,idle
29884,898,968,743,914,lifted
29989,921,962,982,916,lifted
30094,900,964,990,923,lifted
30199,859,954,1004,908,lifted
30304,887,949,996,911,lifted
30409,899,933,1001,905,lifted
30514,907,936,1014,893,lifted
30620,907,938,1013,899,lifted
30725,909,948,1015,904,lifted
31040,891,945,999,901,lifted
31146,892,944,998,909,lifted
31251,886,954,1001,934,lifted
31356,914,942,1006,932,lifted
31461,925,963,845,927,lifted
31567,918,954,770,529,lifted
31672,927,938,724,245,onheels
31777,905,927,686,190,onheels
31882,924,937,902,124,onheels
31987,913,958,998,94,onheels
32093,914,970,221,78,idle
32198,906,949,75,80,idle
32303,896,933,61,91,idle
32408,889,936,53,95,idle
32513,890,931,49,138,idle
32618,895,982,275,919,lifted
32723,897,945,948,919,lifted
32828,898,936,973,935,lifted
32933,894,945,316,383,lifted
33039,892,947,85,145,idle
33144,886,935,61,105,idle
33249,879,930,57,92,idle
33354,885,928,57,81,idle
33459,888,915,53,78,idle
33564,886,922,62,74,idle
33670,897,917,65,69,idle
33775,896,936,77,67,idle
33880,911,943,159,68,idle
33985,894,953,97,118,idle
34090,920,977,993,919,lifted
34196,914,966,986,916,lifted
34511,971,945,1015,947,lifted
34616,976,931,1013,931,lifted
34722,959,933,1013,920,lifted
34827,967,960,1012,921,lifted
34933,940,952,1015,925,lifted
35038,937,955,1011,923,lifted
35143,922,951,1008,927,lifted
35248,936,947,1006,927,lifted
35354,954,953,1007,468,lifted
35459,930,958,294,166,idle
35774,924,966,167,108,idle
35879,913,954,164,95,idle
35985,919,956,157,86,idle
36090,920,958,134,81,idle
36405,920,944,81,82,idle
36510,910,948,76,79,idle
36615,916,940,72,76,idle
36720,909,937,63,78,idle
36825,908,938,57,96,idle
36930,908,945,77,593,ontoes
37035,903,970,607,916,lifted
37141,902,953,938,926,lifted
37246,919,978,351,939,lifted
37351,917,959,83,122,idle
37456,908,933,57,85,idle
37561,907,936,50,79,idle
37667,903,937,45,85,idle
37772,919,939,51,508,ontoes
37878,943,973,936,915,lifted
37983,921,961,978,926,lifted
38088,931,972,1002,939,lifted
38193,881,963,1013,917,lifted
38298,920,959,1002,922,lifted
38403,917,968,1016,942,lifted
38509,919,970,1016,926,lifted
38614,918,968,1019,925,lifted
38719,920,969,1015,924,lifted
38825,911,952,1013,917,kick
38930,908,942,1014,915,kick
39035,898,950,797,732,kick
39140,880,952,391,309,kick
39245,918,950,400,138,kick
39350,921,952,171,106,kick
39456,923,945,103,92,kick
