Timestamp,Sensor1,Sensor2,Sensor3,Sensor4,Label
4563,863,877,834,721,lifted
4668,862,873,834,720,lifted
4774,859,875,836,716,lifted
4879,856,874,831,714,lifted
4984,851,875,831,713,lifted
5090,848,876,829,711,lifted
5195,849,874,831,712,lifted
5300,847,874,832,712,lifted
5405,843,874,828,707,lifted
5511,843,871,828,703,lifted
5616,844,873,830,706,lifted
5721,841,871,827,706,lifted
5826,843,870,826,705,lifted
5932,839,869,825,704,lifted
6037,841,868,823,705,lifted
6142,839,868,820,704,lifted
6247,840,865,821,703,lifted
6353,839,866,820,701,lifted
6458,840,866,820,702,lifted
6563,839,865,821,702,lifted
6668,838,864,820,701,lifted
6773,838,863,818,699,lifted
6879,837,864,818,696,lifted
6984,837,865,817,698,lifted
7089,837,864,816,699,lifted
7194,836,864,816,697,lifted
7299,836,861,815,697,lifted
7404,836,862,815,696,lifted
7509,838,862,815,696,lifted
7615,836,862,812,695,lifted
7720,835,863,811,698,lifted
7825,837,862,814,697,lifted
7930,839,863,813,696,lifted
8036,835,863,811,695,lifted
8141,835,863,815,698,lifted
8246,835,862,810,693,lifted
8352,834,862,809,694,lifted
8457,833,861,811,694,lifted
8562,833,862,807,694,lifted
11081,829,862,804,688,lifted
11186,832,864,804,687,lifted
11291,830,862,804,689,lifted
11396,831,861,803,688,lifted
11502,829,861,802,687,lifted
11607,829,860,804,687,lifted
11712,830,861,803,687,lifted
11817,829,859,805,687,lifted
11922,829,860,803,686,lifted
12027,829,860,803,685,lifted
12133,828,859,806,685,lifted
12238,829,859,808,686,lifted
12343,829,861,805,685,lifted
12448,829,859,804,686,lifted
12553,829,860,803,685,lifted
12658,829,859,803,686,lifted
12764,827,860,802,685,lifted
12869,829,859,802,685,lifted
12975,830,859,802,685,lifted
13080,827,858,802,684,lifted
13185,830,859,806,686,lifted
13290,829,859,803,684,lifted
13396,827,859,805,683,lifted
13501,827,857,808,683,lifted
13606,828,856,807,683,lifted
13711,829,858,804,683,lifted
13817,827,858,804,681,lifted
13922,827,858,805,682,lifted
14027,828,858,803,681,lifted
14132,828,858,805,682,lifted
14238,827,858,804,682,lifted
14343,829,858,806,681,lifted
14448,828,858,805,681,lifted
14553,829,856,806,684,lifted
14658,827,858,806,680,lifted
14764,827,858,804,681,lifted
14869,827,858,807,680,lifted
14974,827,857,808,679,lifted
15079,829,856,808,680,lifted
15184,829,857,808,680,lifted
15290,829,857,808,679,lifted
15395,828,858,804,679,lifted
15500,827,857,803,679,lifted
15605,827,857,803,680,lifted
15710,827,857,802,677,lifted
15815,827,859,801,678,lifted
15921,826,855,801,678,lifted
16026,826,856,801,678,lifted
16131,826,856,799,676,lifted
16236,825,856,798,677,lifted
16341,825,856,798,677,lifted
16446,826,856,797,676,lifted
16551,826,856,797,676,lifted
16657,827,856,798,678,lifted
16762,826,856,796,676,lifted
16867,827,856,796,675,lifted
16972,827,855,798,674,lifted
17077,826,854,797,675,lifted
17182,826,856,798,676,lifted
17288,829,857,796,676,lifted
17393,826,856,796,676,lifted
17498,823,854,796,675,lifted
17603,824,858,797,675,lifted
17708,825,857,797,674,lifted
17813,824,855,797,675,lifted
17918,824,854,797,673,lifted
18023,824,855,797,674,lifted
