Timestamp,Sensor1,Sensor2,Sensor3,Sensor4,Label
158313,845,810,612,72,onheels
158418,842,809,619,71,onheels
158524,839,807,625,69,onheels
158629,836,806,632,68,onheels
158734,841,809,638,69,onheels
158839,837,796,618,67,onheels
158944,833,793,610,68,onheels
159049,830,792,607,66,onheels
159154,829,789,614,65,onheels
159259,828,790,602,65,onheels
159365,827,789,604,65,onheels
159470,824,784,609,66,onheels
159575,822,784,596,66,onheels
159680,818,778,590,65,onheels
159785,820,775,588,66,onheels
159890,819,775,590,65,onheels
159996,817,781,597,64,onheels
160101,817,809,632,66,onheels
160180,818,819,672,66,onheels
160258,820,828,712,67,onheels
160337,821,838,751,68,onheels
160416,822,848,791,68,onheels
160521,823,840,812,68,onheels
160626,827,837,777,68,onheels
160731,848,829,760,67,onheels
160836,842,821,719,68,onheels
160942,838,797,690,67,onheels
161047,843,792,670,67,onheels
161152,843,787,659,67,onheels
161257,841,788,651,66,onheels
161362,838,788,644,66,onheels
161467,836,789,636,65,onheels
161572,833,786,636,66,onheels
161677,842,787,635,69,onheels
161782,834,778,624,68,onheels
161888,829,775,619,66,onheels
161993,829,773,617,65,onheels
162098,825,773,626,64,onheels
162203,821,773,616,64,onheels
162308,821,774,610,64,onheels
162360,820,774,612,66,onheels
162413,820,774,615,67,onheels
162518,819,776,609,66,onheels
162623,820,774,603,67,onheels
162728,819,773,601,66,onheels
162834,818,772,600,66,onheels
162939,817,771,598,65,onheels
163044,814,768,602,64,onheels
163149,813,769,592,63,onheels
163254,814,767,589,63,onheels
163359,813,767,589,64,onheels
163464,814,767,584,62,onheels
163570,812,765,580,62,onheels
163675,811,765,578,63,onheels
163780,814,765,572,64,onheels
163886,815,764,570,63,onheels
163991,819,765,571,64,onheels
164096,822,765,573,63,onheels
164201,825,768,573,63,onheels
164306,828,765,571,63,onheels
164411,823,765,570,64,onheels
164464,821,764,571,63,onheels
164516,819,764,572,62,onheels
164621,819,763,568,62,onheels
164727,818,765,566,63,onheels
164832,819,763,564,62,onheels
164937,818,761,561,62,onheels
165042,818,761,559,62,onheels
165147,818,761,558,63,onheels
165252,818,760,556,63,onheels
165357,818,760,555,64,onheels
165462,818,760,553,64,onheels
