Timestamp,Sensor1,Sensor2,Sensor3,Sensor4,Label
104379,880,832,110,600,ontoes
104484,885,818,111,605,ontoes
104589,899,819,105,611,ontoes
104694,912,830,118,617,ontoes
104799,919,841,114,631,ontoes
104904,906,818,113,616,ontoes
105010,900,807,106,609,ontoes
105115,905,814,104,608,ontoes
105220,914,814,110,612,ontoes
105325,922,814,115,616,ontoes
105430,931,814,121,620,ontoes
105535,927,802,120,612,ontoes
105640,913,804,114,604,ontoes
105745,911,799,111,601,ontoes
105850,914,789,116,596,ontoes
105955,911,803,117,596,ontoes
106061,917,816,115,591,ontoes
106166,915,813,115,589,ontoes
106271,906,804,112,584,ontoes
106376,905,804,109,583,ontoes
106428,904,799,110,584,ontoes
106481,902,794,112,584,ontoes
106586,898,790,115,583,ontoes
106691,900,786,110,579,ontoes
106796,899,783,115,577,ontoes
106901,898,781,113,574,ontoes
107007,897,778,111,570,ontoes
107112,896,776,109,567,ontoes
107217,907,794,116,566,ontoes
107322,905,791,110,560,ontoes
107427,905,788,115,559,ontoes
107532,904,785,114,558,ontoes
107637,901,780,110,557,ontoes
107742,899,778,111,553,ontoes
107848,897,774,113,552,ontoes
107953,891,774,113,549,ontoes
108058,889,768,110,548,ontoes
108163,885,765,108,547,ontoes
108268,885,779,111,544,ontoes
108374,882,780,108,548,ontoes
108426,886,782,109,548,ontoes
108479,889,783,110,548,ontoes
108584,897,783,118,549,ontoes
108689,897,779,114,547,ontoes
108794,889,779,112,546,ontoes
108899,889,781,113,543,ontoes
109004,889,785,114,544,ontoes
109109,886,782,112,545,ontoes
109215,886,774,114,545,ontoes
109320,887,782,114,545,ontoes
109425,889,789,115,545,ontoes
109530,890,797,115,545,ontoes
109635,891,798,112,542,ontoes
109740,884,784,109,542,ontoes
109845,876,779,111,542,ontoes
109950,873,788,109,540,ontoes
110055,871,791,108,541,ontoes
110160,871,785,108,539,ontoes
110266,868,781,109,537,ontoes
110371,873,787,112,539,ontoes
110476,871,781,108,536,ontoes
110528,872,780,106,535,ontoes
110581,872,780,104,534,ontoes
110686,873,773,112,534,ontoes
110791,875,769,111,533,ontoes
110897,876,766,111,532,ontoes
111002,878,762,110,531,ontoes
111107,877,763,108,529,ontoes
111212,876,763,105,526,ontoes
111317,875,764,103,524,ontoes
111422,872,749,109,522,ontoes
111527,871,752,109,521,ontoes
111632,870,751,115,520,ontoes
111737,875,768,114,524,ontoes
111843,889,801,114,530,ontoes
111948,883,796,112,527,ontoes
112053,878,792,109,523,ontoes
112158,872,787,107,520,ontoes
112263,872,793,106,518,ontoes
112369,880,793,109,516,ontoes
112474,877,809,102,518,ontoes
112526,875,804,104,518,ontoes
112579,873,800,105,517,ontoes
112684,871,796,109,514,ontoes
112789,880,815,109,517,ontoes
112894,879,814,111,521,ontoes
112999,887,805,112,524,ontoes
113105,882,796,108,528,ontoes
113210,881,795,118,527,ontoes
113315,880,790,107,521,ontoes
113420,875,785,112,521,ontoes
113525,878,796,111,521,ontoes
113630,889,806,118,524,ontoes
113735,883,792,116,517,ontoes
113840,879,787,112,514,ontoes
113945,876,785,110,513,ontoes
114050,872,782,109,511,ontoes
114155,869,780,107,510,ontoes
114261,869,773,103,506,ontoes
114366,872,766,106,504,ontoes
114471,877,760,102,504,ontoes
114550,875,761,102,503,ontoes
114628,873,762,101,502,ontoes
114707,871,763,100,501,ontoes
114786,869,764,100,500,ontoes
114891,868,768,98,499,ontoes
114996,869,765,112,498,ontoes
115101,880,780,115,499,ontoes
115206,875,778,113,500,ontoes
115312,873,777,108,497,ontoes
115417,878,776,110,497,ontoes
115522,884,774,111,498,ontoes
115627,889,773,113,498,ontoes
115732,884,763,111,494,ontoes
115837,883,764,109,492,ontoes
115942,878,761,105,492,ontoes
116047,879,757,105,493,ontoes
116152,870,753,103,490,ontoes
116258,862,757,108,487,ontoes
116363,867,766,105,487,ontoes
116469,865,769,102,487,ontoes
116574,863,756,100,487,ontoes
116626,866,753,100,486,ontoes
116679,868,750,99,486,ontoes
116784,873,749,109,486,ontoes
116890,873,758,109,487,ontoes
116995,877,758,109,485,ontoes
117100,875,765,110,487,ontoes
117205,872,771,112,488,ontoes
117310,870,778,113,490,ontoes
117415,874,782,106,491,ontoes
117520,869,775,104,490,ontoes
117626,869,767,101,489,ontoes
117731,862,760,98,490,ontoes
117836,861,767,99,489,ontoes
117941,863,763,101,486,ontoes
118046,863,766,102,486,ontoes
118151,861,758,99,483,ontoes
118256,860,762,101,482,ontoes
118361,862,765,106,481,ontoes
118467,867,769,112,483,ontoes
118572,863,759,105,480,ontoes
118677,865,758,105,480,ontoes
118730,864,755,104,480,ontoes
118782,862,752,102,480,ontoes
118887,858,749,106,481,ontoes
118992,863,762,126,484,ontoes
119097,868,763,127,485,ontoes
119202,870,768,122,485,ontoes
119307,868,784,125,488,ontoes
119413,867,773,123,487,ontoes
119518,871,770,119,485,ontoes
119623,871,767,117,483,ontoes
119728,870,765,115,482,ontoes
119833,870,762,113,480,ontoes
119938,865,754,116,479,ontoes
120043,861,760,114,478,ontoes
120148,860,762,114,476,ontoes
120254,856,765,114,477,ontoes
120359,861,757,116,476,ontoes
120464,862,754,113,476,ontoes
120569,861,751,113,477,ontoes
120674,859,744,110,476,ontoes
120753,857,745,109,476,ontoes
120832,856,746,108,475,ontoes
120910,854,746,108,474,ontoes
120989,852,747,107,474,ontoes
121094,850,745,109,473,ontoes
121200,849,744,109,473,ontoes
121305,847,744,108,472,ontoes
121410,850,749,110,472,ontoes
121515,853,754,113,472,ontoes
121620,856,759,115,472,ontoes
121725,851,753,113,472,ontoes
121830,847,749,110,469,ontoes
121936,842,747,108,469,ontoes
122041,843,745,108,469,ontoes
122146,843,743,108,470,ontoes
122251,844,741,108,470,ontoes
122356,847,743,106,468,ontoes
122461,845,741,104,468,ontoes
122566,845,734,104,466,ontoes
122671,849,733,107,466,ontoes
122776,850,732,110,466,ontoes
122829,847,737,110,466,ontoes
122882,844,742,109,466,ontoes
122987,844,741,106,466,ontoes
123092,843,738,105,466,ontoes
123197,841,734,104,465,ontoes
123302,840,731,103,465,ontoes
123407,840,741,105,466,ontoes
123512,845,756,104,465,ontoes
123617,859,782,110,465,ontoes
123722,879,797,114,467,ontoes
123827,887,785,117,466,ontoes
123933,876,784,116,465,ontoes
124038,868,774,113,466,ontoes
124143,866,771,113,465,ontoes
124249,863,771,110,466,ontoes
124354,859,771,111,466,ontoes
124459,858,765,109,466,ontoes
124564,858,765,108,467,ontoes
124669,859,759,108,466,ontoes
124774,860,763,108,466,ontoes
124826,858,759,109,467,ontoes
124879,856,755,110,468,ontoes
124984,850,762,109,471,ontoes
125089,851,817,111,470,ontoes
125195,855,794,109,469,ontoes
125300,852,787,108,467,ontoes
125405,855,782,103,466,ontoes
125510,858,767,109,465,ontoes
125615,856,771,114,466,ontoes
125720,848,766,108,467,ontoes
125825,850,766,108,465,ontoes
125930,853,767,109,464,ontoes
126035,855,767,109,462,ontoes
126140,853,758,105,462,ontoes
126246,849,758,106,461,ontoes
126351,845,752,103,461,ontoes
126456,840,753,105,460,ontoes
126561,842,755,103,463,ontoes
126666,846,751,102,461,ontoes
126771,847,753,108,460,ontoes
126876,849,753,105,461,ontoes
126928,847,751,104,460,ontoes
126981,845,749,102,459,ontoes
127087,844,748,101,459,ontoes
127192,851,747,108,460,ontoes
127297,843,739,103,460,ontoes
127402,841,744,103,459,ontoes
127507,840,750,102,459,ontoes
127612,838,755,102,458,ontoes
127717,839,744,98,458,ontoes
127822,843,748,102,459,ontoes
127928,844,753,103,460,ontoes
128033,843,748,103,459,ontoes
128138,844,745,104,460,ontoes
128243,844,741,106,460,ontoes
128349,841,732,101,459,ontoes
128454,838,730,102,459,ontoes
128559,840,732,102,458,ontoes
128664,838,733,104,459,ontoes
128769,838,730,109,459,ontoes
128874,837,735,108,460,ontoes
128926,836,732,108,459,ontoes
128979,835,728,107,458,ontoes
129084,833,733,102,460,ontoes
129189,833,726,102,459,ontoes
129295,831,734,102,458,ontoes
129400,831,728,105,458,ontoes
129505,833,722,103,457,ontoes
129610,830,720,105,458,ontoes
129715,833,723,105,458,ontoes
129820,836,730,105,457,ontoes
129925,838,732,104,457,ontoes
130030,844,729,106,456,ontoes
130135,836,734,106,458,ontoes
130241,831,730,107,457,ontoes
130346,831,728,105,457,ontoes
130451,830,729,105,455,ontoes
130556,828,733,103,456,ontoes
130661,826,748,103,456,ontoes
130766,824,739,103,456,ontoes
130871,826,735,105,456,ontoes
130977,828,750,105,457,ontoes
131030,835,760,104,459,ontoes
131082,842,770,104,461,ontoes
131187,839,763,104,460,ontoes
131292,836,755,103,458,ontoes
131397,833,748,103,457,ontoes
131502,833,746,105,457,ontoes
131607,831,740,103,457,ontoes
131712,833,740,102,456,ontoes
131817,835,739,101,457,ontoes
131923,834,735,101,455,ontoes
132028,831,734,100,455,ontoes
132133,834,731,99,454,ontoes
132239,836,731,99,455,ontoes
132344,837,729,98,454,ontoes
132449,835,732,102,453,ontoes
132554,832,736,104,454,ontoes
132659,826,733,101,453,ontoes
132764,825,732,98,453,ontoes
132869,825,728,99,453,ontoes
132975,824,725,97,453,ontoes
133028,825,724,96,453,ontoes
133080,826,723,95,453,ontoes
133185,826,724,98,453,ontoes
133290,829,725,96,452,ontoes
133395,835,724,97,454,ontoes
133500,843,721,98,455,ontoes
133605,837,717,98,454,ontoes
133710,841,718,96,455,ontoes
133815,838,722,100,454,ontoes
133921,838,721,100,454,ontoes
134026,836,718,101,454,ontoes
134131,835,720,101,454,ontoes
134236,835,720,99,454,ontoes
134341,833,719,99,455,ontoes
134446,831,718,97,454,ontoes
134551,829,717,96,454,ontoes
134656,830,722,95,455,ontoes
134762,831,722,95,455,ontoes
134867,830,721,93,456,ontoes
134972,829,720,96,456,ontoes
135077,828,718,98,457,ontoes
135130,827,718,98,456,ontoes
135182,826,717,99,456,ontoes
135287,827,714,101,455,ontoes
135392,827,715,99,455,ontoes
135497,829,715,102,455,ontoes
135603,830,720,106,454,ontoes
135708,826,720,103,455,ontoes
