Timestamp,Sensor1,Sensor2,Sensor3,Sensor4,Label
399723,899,939,1005,869,unknown
399829,905,938,1009,129,unknown
399934,912,931,1013,102,unknown
400039,914,926,1006,94,unknown
400144,899,923,1007,92,unknown
400249,890,931,984,125,unknown
400354,905,938,1007,884,unknown
400459,888,936,1001,906,unknown
400564,885,935,1001,934,unknown
400669,894,942,1000,939,unknown
400775,874,936,1006,925,unknown
400880,871,930,1007,922,unknown
400985,876,928,1006,912,unknown
401090,879,932,1008,928,unknown
401195,870,929,1010,934,unknown
401300,885,941,1009,921,unknown
401405,870,928,1008,913,unknown
401511,874,926,1008,907,unknown
401616,867,926,1012,901,unknown
401721,881,922,1006,909,unknown
401826,878,937,1014,694,unknown
401931,884,938,1015,585,unknown
402036,866,925,1010,350,unknown
402141,885,949,1014,188,unknown
402247,901,980,509,944,unknown
402352,900,958,993,925,unknown
402457,890,938,1021,947,unknown
402562,914,948,926,963,unknown
402667,922,960,998,956,unknown
402772,905,940,993,943,unknown
402878,926,987,994,941,unknown
402983,901,966,977,939,unknown
403088,883,925,970,942,unknown
403193,878,949,967,936,unknown
403298,885,959,986,934,unknown
403403,873,977,986,932,unknown
403509,870,974,1006,940,unknown
403614,856,969,1008,948,unknown
403719,900,970,1015,938,unknown
403825,904,957,1014,926,unknown
403930,885,963,1015,933,unknown
404035,873,980,1012,943,unknown
404140,875,978,1011,938,unknown
404245,901,996,1010,965,unknown
404350,889,971,1019,975,unknown
404455,914,961,995,975,unknown
404561,889,969,917,958,unknown
404666,875,976,930,949,unknown
404771,901,968,1007,937,unknown
404876,896,971,1007,926,unknown
404981,889,970,997,917,unknown
405087,868,965,1009,916,unknown
405192,882,959,874,916,unknown
405297,878,958,763,919,unknown
405403,881,960,991,909,unknown
405508,904,964,1013,915,unknown
405614,885,961,985,922,unknown
405719,880,948,818,929,unknown
405824,888,939,774,927,unknown
405929,890,935,713,926,unknown
406034,902,947,984,919,unknown
406140,890,946,1003,904,unknown
406245,889,940,995,903,unknown
406350,882,940,993,896,unknown
406455,883,944,998,894,unknown
406561,872,940,996,895,unknown
406666,870,946,992,892,unknown
406771,873,939,988,890,unknown
406876,875,946,983,885,unknown
406981,876,938,979,885,unknown
407086,877,946,986,893,unknown
407192,868,941,996,894,unknown
407297,881,941,1000,894,unknown
407402,873,939,1002,900,trick
407507,868,944,1007,907,trick
407612,856,945,1016,806,trick
407718,875,946,1015,294,trick
407823,862,948,1017,887,trick
407929,878,965,831,928,trick
408034,872,965,1008,955,trick
408139,897,952,962,949,trick
408245,882,804,1011,949,trick
408350,874,951,994,927,trick
408455,877,979,1006,941,trick
408560,894,810,1006,941,trick
408665,896,971,1007,933,trick
408770,899,976,999,931,unknown
408876,891,962,1012,944,unknown
408981,893,956,1014,937,unknown
409086,883,966,1018,955,unknown
409191,882,950,1016,961,unknown
409296,878,960,1015,1005,unknown
409401,909,989,903,1008,unknown
409507,855,947,692,983,unknown
409612,861,962,1000,979,unknown
409717,887,944,1021,976,unknown
409822,883,947,1015,972,unknown
409928,885,942,1020,975,unknown
410243,884,953,1012,970,unknown
410348,876,950,1015,966,unknown
410453,889,955,1014,967,unknown
410558,901,949,1012,960,unknown
410664,897,944,1017,959,unknown
410769,873,951,1016,958,unknown
410874,894,954,1019,959,unknown
410979,884,949,1017,957,unknown
411084,867,952,1021,955,unknown
411190,885,942,1015,960,unknown
411295,883,942,1010,955,unknown
411400,876,934,1011,949,unknown
