Timestamp,Sensor1,Sensor2,Sensor3,Sensor4,Label
132788,832,864,99,114,walking
132893,846,860,114,121,walking
132999,850,874,159,140,walking
133104,833,878,192,150,walking
133209,835,888,365,239,walking
133315,833,890,862,600,walking
133420,844,895,868,634,walking
133525,866,902,895,650,walking
133630,865,900,911,657,walking
133735,858,892,900,388,walking
133841,881,900,202,115,walking
133946,878,875,74,92,walking
134051,887,861,58,80,walking
134156,904,860,53,82,walking
134261,876,861,43,95,walking
134367,865,858,47,335,walking
134472,896,847,278,592,walking
134577,900,888,741,700,walking
134682,901,894,882,666,walking
134787,903,886,878,662,walking
134893,883,890,914,668,walking
134998,893,887,908,656,walking
135103,876,885,876,98,walking
135208,880,891,84,92,walking
135313,897,880,55,88,walking
135418,888,871,41,91,walking
135524,879,853,31,135,walking
135629,867,836,126,569,walking
135734,892,883,337,673,walking
135839,902,919,901,688,walking
135944,888,896,820,675,walking
136049,885,888,846,672,walking
136155,890,901,861,667,walking
136260,894,895,824,86,walking
136365,888,891,84,100,walking
136470,879,878,56,105,walking
136575,883,866,46,138,walking
136680,863,846,51,271,walking
136786,865,855,190,616,walking
136891,913,877,311,684,walking
136997,907,889,830,696,walking
137102,899,894,850,676,walking
137207,881,886,863,660,walking
137312,892,905,882,663,walking
137417,911,915,891,90,walking
137523,896,907,95,98,walking
137628,903,871,60,98,walking
137733,900,869,53,121,walking
137838,894,849,50,285,walking
137943,891,844,179,613,walking
138048,921,908,386,683,walking
138153,894,875,812,683,walking
138259,894,875,812,691,walking
138364,880,872,825,677,walking
138469,895,890,859,672,walking
138574,907,878,859,92,walking
138679,897,897,105,96,walking
138785,891,874,63,95,walking
138890,888,862,47,111,walking
138995,895,872,50,179,walking
139310,890,913,854,701,walking
139415,891,895,868,681,walking
139521,872,880,870,675,walking
139625,882,889,891,675,walking
139731,876,888,897,247,walking
139836,900,891,237,109,walking
139941,878,876,55,98,walking
140047,884,856,46,120,walking
140152,868,853,43,188,walking
140572,908,906,837,681,walking
140677,878,888,848,677,walking
140782,887,909,891,684,walking
140887,860,914,894,770,walking
141202,863,862,37,115,walking
141307,873,850,36,179,walking
141413,867,826,41,413,walking
141518,882,866,170,674,walking
141623,892,906,762,764,walking
142253,886,894,473,105,walking
142358,875,900,72,91,walking
142464,874,889,53,101,walking
142569,876,867,42,160,walking
142674,862,851,60,501,walking
142780,898,862,226,646,walking
143410,881,873,735,113,walking
143515,881,879,62,96,walking
143620,866,875,51,103,walking
144145,877,893,821,702,walking
144460,869,908,885,702,walking
144565,887,883,881,308,walking
144880,864,869,48,102,walking
145301,885,914,835,703,walking
145721,883,924,880,691,walking
145826,871,896,787,101,walking
145931,858,897,51,85,walking
146036,853,851,36,108,walking
146141,851,848,38,167,walking
146456,903,901,342,730,walking
146562,900,920,854,733,walking
146667,891,909,827,701,walking
147087,902,898,837,98,walking
147192,897,877,75,88,walking
147297,889,883,45,93,walking
147403,889,879,42,145,walking
147508,861,859,63,353,walking
147613,861,849,199,628,walking
147718,892,862,283,707,walking
148033,878,899,832,670,walking
148139,886,909,888,656,walking
148244,886,922,851,664,walking
148349,888,922,911,121,walking
148454,863,903,53,101,walking
148559,863,872,36,119,walking
148665,861,862,34,178,walking
148770,864,864,34,302,walking
148875,868,870,119,621,walking
149190,894,911,876,702,walking
150765,874,909,209,100,walking
150870,865,896,51,85,walking
150975,856,881,42,89,walking
151080,861,868,34,116,walking
151185,845,856,35,309,walking
151291,855,867,122,636,walking
151396,898,944,747,753,walking
151501,898,911,805,716,walking
151606,889,903,823,698,walking
151711,887,914,877,706,walking
151817,886,897,871,695,walking
151922,883,884,620,106,walking
152027,908,881,67,84,walking
152132,903,863,60,80,walking
152238,897,864,47,87,walking
152343,893,867,37,158,walking
152448,870,844,109,611,walking
152553,908,876,281,701,walking
152659,898,905,869,702,walking
152764,876,896,824,706,walking
152870,874,886,855,688,walking
152975,885,899,851,685,walking
153080,914,910,884,118,walking
153185,928,913,162,87,walking
153290,897,868,71,84,walking
153395,891,866,58,96,walking
153501,887,858,58,205,walking
153606,884,851,77,608,walking
153711,890,847,291,715,walking
153816,885,844,319,742,walking
153921,889,894,899,705,walking
154026,891,907,921,683,walking
154132,875,894,944,664,walking
154237,891,888,948,690,walking
154342,902,892,956,132,walking
154447,909,913,202,122,walking
154552,908,878,84,107,walking
154658,911,853,58,110,walking
154763,904,835,46,128,walking
154868,889,844,40,154,walking
154974,876,900,177,198,walking
155079,873,903,812,601,walking
155185,866,906,842,674,walking
155290,907,910,864,698,walking
155395,915,903,832,695,walking
155501,921,904,895,675,walking
155606,926,910,594,96,walking
155711,899,895,102,89,walking
155816,891,900,63,76,walking
155922,880,887,53,80,walking
156027,894,887,49,82,walking
156132,876,860,43,101,walking
156237,877,834,80,547,walking
156343,890,892,348,648,walking
