Timestamp,Sensor1,Sensor2,Sensor3,Sensor4,Label
730757,905,937,607,167,idle
730862,916,934,204,107,idle
730967,913,920,115,86,idle
731072,904,900,101,79,idle
731177,900,899,91,78,idle
731282,907,903,72,78,idle
731387,899,910,63,88,idle
731493,902,926,101,130,idle
731598,891,937,567,694,lifted
731704,888,934,925,764,lifted
731809,909,927,970,813,lifted
731914,926,960,1005,830,lifted
732019,903,941,982,816,lifted
732125,949,965,1009,835,lifted
732230,961,266,1019,872,bouncing
732335,944,924,1000,794,lifted
732440,949,930,1014,818,lifted
732546,930,944,1014,857,lifted
732651,947,900,1007,829,lifted
732756,982,944,1010,872,lifted
732862,941,937,1006,869,lifted
732968,927,929,1009,879,lifted
733073,923,918,1004,871,lifted
733178,944,921,1015,891,lifted
733283,977,127,997,921,bouncing
733389,922,911,1002,875,lifted
733494,909,911,1017,867,lifted
733599,914,914,1005,852,lifted
733704,948,913,735,216,onheels
733809,918,898,596,109,onheels
733915,918,893,615,122,onheels
734020,921,887,722,120,onheels
734125,912,879,703,150,onheels
734230,913,890,747,149,onheels
734336,908,892,898,513,lifted
734441,907,898,990,801,lifted
734547,911,893,992,841,lifted
734652,900,891,988,867,lifted
734758,903,888,988,910,lifted
734863,899,906,987,100,onheels
734969,894,921,977,77,onheels
735074,889,913,970,74,onheels
735179,882,906,979,82,onheels
735284,899,907,1006,340,onheels
735389,916,909,1006,763,lifted
735494,938,276,1008,849,bouncing
735600,931,956,1013,814,lifted
735705,919,951,1016,837,lifted
735810,944,944,1014,826,lifted
735916,916,959,1021,802,lifted
736021,907,950,1011,825,lifted
736126,911,948,1015,860,lifted
736231,914,937,1018,897,lifted
736336,924,938,1010,841,lifted
736441,884,941,1009,792,lifted
736547,896,938,1014,788,lifted
736652,920,947,1009,878,lifted
736758,919,931,1011,876,lifted
736863,952,916,1001,893,lifted
736968,936,935,1011,875,lifted
737073,908,943,1009,868,lifted
737178,948,894,1001,872,lifted
737284,950,914,1009,948,lifted
737389,919,933,1014,856,lifted
737494,927,930,1015,845,lifted
737599,915,945,1003,824,lifted
737705,950,936,1003,855,lifted
737810,933,917,1015,886,lifted
737915,945,964,1018,894,lifted
738020,915,956,1016,879,lifted
738125,935,952,1014,864,lifted
738231,933,960,975,923,lifted
738336,914,966,1000,900,lifted
738441,911,949,1005,871,lifted
738547,888,929,997,854,lifted
738652,852,949,801,670,lifted
738757,874,945,790,156,onheels
738863,894,936,783,107,onheels
738968,898,932,713,104,onheels
739073,906,931,682,96,onheels
739179,902,940,708,82,onheels
739284,900,928,829,80,onheels
739389,904,935,905,79,onheels
739494,896,938,968,83,onheels
739599,896,938,992,528,lifted
739705,915,944,1006,772,lifted
739810,899,938,1001,798,lifted
739915,889,942,1001,813,lifted
740020,888,936,1012,127,onheels
740125,876,932,1000,106,onheels
740231,884,933,1002,312,onheels
740336,892,933,999,789,lifted
740441,908,935,1007,842,lifted
740546,966,967,997,916,lifted
740651,910,970,1015,818,lifted
740756,927,965,1012,882,lifted
740862,899,932,1012,847,lifted
740967,945,943,1010,834,lifted
741072,926,938,1012,813,lifted
741177,934,947,1011,849,lifted
741283,945,938,1007,811,lifted
741388,909,945,1014,790,lifted
741493,904,924,1010,788,lifted
741598,880,921,1011,798,lifted
741704,897,954,1013,785,lifted
741809,909,947,1018,774,lifted
741914,922,975,1014,760,lifted
742019,898,974,1015,756,lifted
742124,899,969,1015,777,lifted
742229,922,960,996,777,lifted
742334,906,946,1014,790,lifted
742439,945,965,1016,898,lifted
742545,942,963,1014,853,lifted
742650,918,947,1012,793,lifted
742755,902,944,1007,786,lifted
742860,923,957,1013,786,lifted
742966,972,749,1008,861,bouncing
743071,933,952,1009,808,lifted
743176,920,956,1005,809,lifted
743281,902,954,1012,865,lifted
743387,904,964,1012,115,onheels
743492,891,954,1001,102,onheels
743597,887,950,1000,85,onheels
743913,880,948,1001,242,lifted
744018,907,952,1003,865,lifted
744123,910,951,1004,871,lifted
744229,900,937,1004,845,lifted
744334,910,931,1009,97,onheels
744440,904,926,1000,81,onheels
744545,896,930,1002,77,onheels
744650,886,925,995,77,onheels
744756,878,929,1003,82,onheels
744861,911,931,1009,765,lifted
744966,939,928,1015,857,lifted
745071,989,947,1013,861,lifted
745177,916,966,1015,821,lifted
745282,921,953,1010,841,lifted
745387,905,954,1013,803,lifted
745492,974,222,1021,821,bouncing
745597,915,976,1013,789,lifted
745703,942,928,1021,803,lifted
745808,925,977,1014,813,lifted
745913,924,965,1009,802,lifted
746018,908,969,1012,768,lifted
746123,896,967,1014,751,lifted
746229,945,987,1017,96,onheels
