Timestamp,Sensor1,Sensor2,Sensor3,Sensor4,Label
33583,734,773,52,52,idle
33688,736,769,51,53,idle
33793,738,769,51,52,idle
33898,735,766,52,53,idle
34003,735,770,52,51,idle
34108,734,771,52,53,idle
34213,736,770,52,52,idle
34319,734,771,54,52,idle
34424,734,772,53,51,idle
34529,734,772,54,50,idle
34634,735,771,52,52,idle
34739,735,771,52,52,idle
34844,735,771,52,52,idle
34949,734,770,52,51,idle
35054,734,770,52,51,idle
35159,734,770,52,51,idle
35264,735,771,52,53,idle
35369,735,768,52,52,idle
35475,734,768,52,51,idle
35572,734,768,52,51,idle
35670,734,768,52,51,idle
35767,734,768,52,51,idle
35865,734,768,52,51,idle
35962,734,768,52,51,idle
36060,734,768,52,51,idle
36157,734,768,52,50,idle
36254,734,768,51,50,idle
36352,734,768,51,50,idle
36449,734,768,51,50,idle
36547,734,768,51,50,idle
36644,734,768,51,50,idle
36742,734,768,51,50,idle
36839,734,768,51,50,idle
36944,734,766,52,50,idle
37049,735,767,50,50,idle
37155,735,767,51,51,idle
37260,735,765,51,48,idle
37365,736,766,51,49,idle
37470,735,766,56,50,idle
37575,735,767,53,48,idle
37681,735,766,52,47,idle
37734,736,766,52,48,idle
37786,737,766,52,50,idle
37891,736,767,50,50,idle
37996,734,766,52,50,idle
38101,736,766,50,49,idle
38206,737,766,53,49,idle
38312,739,765,54,49,idle
38417,738,766,53,50,idle
38522,739,766,53,50,idle
38627,740,766,52,50,idle
38732,740,766,52,50,idle
38837,741,765,52,50,idle
38942,741,765,52,50,idle
39047,740,765,51,49,idle
39152,740,764,51,50,idle
39257,739,764,51,50,idle
39362,739,763,51,51,idle
39467,738,764,52,51,idle
39572,738,764,53,50,idle
39677,737,765,54,50,idle
39782,736,766,55,50,idle
39834,736,766,54,50,idle
39887,737,766,54,50,idle
39993,738,765,54,51,idle
40098,738,764,53,50,idle
40203,738,766,52,52,idle
40308,739,766,52,54,idle
40413,739,767,53,54,idle
40518,739,767,53,54,idle
40623,738,767,54,54,idle
40728,738,767,54,54,idle
40833,739,767,52,53,idle
40938,739,765,55,53,idle
41043,738,769,52,54,idle
41148,738,768,52,54,idle
41254,738,767,53,53,idle
41359,738,766,53,53,idle
41464,738,758,52,53,idle
41569,737,766,53,53,idle
