Timestamp,Sensor1,Sensor2,Sensor3,Sensor4,Label
260186,851,906,498,197,unknown
260291,859,912,885,804,unknown
260396,862,911,884,862,unknown
260501,858,897,867,871,unknown
260607,845,885,972,755,unknown
260712,851,886,968,688,unknown
260817,856,896,814,238,unknown
260922,862,908,410,119,unknown
261027,861,921,224,86,unknown
261132,869,914,160,76,unknown
261237,864,910,145,75,unknown
261343,875,909,148,75,unknown
261448,866,905,141,72,unknown
261553,863,904,137,72,unknown
261658,861,900,238,78,unknown
261763,863,908,798,144,unknown
261868,856,908,993,850,unknown
261973,867,891,967,856,unknown
262078,883,909,950,926,unknown
262184,949,968,941,940,unknown
262289,888,914,1008,950,unknown
262394,894,911,998,949,unknown
262499,878,901,1005,944,unknown
262604,876,900,996,945,unknown
262710,875,900,995,939,unknown
263025,878,902,993,932,unknown
263131,872,899,987,925,unknown
263236,869,900,979,930,unknown
263341,878,902,975,922,unknown
263447,868,898,973,922,unknown
263552,869,898,973,924,unknown
263657,871,893,972,924,unknown
263762,868,893,975,929,unknown
263867,863,891,975,928,unknown
263972,856,890,974,925,unknown
264077,855,897,976,921,unknown
264183,855,897,977,920,unknown
264288,865,898,985,924,unknown
264393,858,897,993,950,unknown
264498,867,905,998,946,unknown
264603,908,936,1017,926,unknown
264708,905,941,1021,944,unknown
264813,905,948,1010,930,unknown
264919,890,938,1009,931,unknown
265024,893,936,999,941,unknown
265129,886,952,1011,925,unknown
265234,907,970,622,130,unknown
265339,878,954,180,104,unknown
265444,875,950,125,93,unknown
265549,891,942,113,90,unknown
265655,890,938,110,85,unknown
265760,889,935,126,77,unknown
265865,880,922,147,74,unknown
265970,878,918,395,76,unknown
266075,872,949,1008,882,unknown
266181,912,939,987,900,unknown
266286,898,936,1007,933,unknown
266391,892,944,1009,930,unknown
266496,892,932,1018,948,unknown
266601,885,939,1019,947,unknown
266707,885,933,1016,942,unknown
267022,897,925,1016,933,unknown
267128,941,973,488,173,unknown
267233,900,948,206,134,unknown
267338,902,932,141,126,unknown
267443,909,919,117,103,unknown
267548,893,930,185,108,unknown
267653,920,934,942,147,unknown
267758,908,941,1012,870,unknown
267863,912,937,1001,854,unknown
267968,911,932,1012,878,unknown
268074,905,971,1017,958,unknown
268179,890,923,1014,926,unknown
268284,889,914,1005,923,unknown
268389,900,908,1005,928,unknown
268494,892,901,1007,931,unknown
268600,898,923,1002,923,unknown
268705,935,970,149,290,unknown
268810,897,965,88,197,unknown
268915,901,958,102,153,unknown
269020,901,952,103,109,unknown
269125,885,946,122,107,unknown
269231,925,945,714,110,unknown
269336,913,942,1013,878,unknown
269441,934,941,1014,937,unknown
269546,918,971,1021,964,unknown
269651,901,937,1013,952,unknown
269756,924,905,1012,955,unknown
269862,915,900,1001,953,unknown
269967,909,903,1002,949,unknown
270072,910,902,1003,945,unknown
270177,917,897,997,939,unknown
270282,922,896,997,945,unknown
270387,914,892,998,945,unknown
270492,912,891,998,946,unknown
270598,920,886,997,950,unknown
270703,931,916,1016,156,unknown
270808,925,962,415,148,unknown
270913,918,966,181,110,unknown
271018,918,956,185,101,unknown
271124,923,949,185,85,unknown
271229,916,965,74,247,unknown
271334,903,962,848,891,unknown
271439,937,930,920,874,unknown
271544,903,969,38,189,unknown
271650,889,971,30,190,unknown
271755,893,967,31,144,unknown
271860,947,945,601,100,unknown
271965,955,969,953,904,unknown
272071,937,936,979,953,unknown
272176,959,947,1010,960,unknown
272281,924,927,1011,957,unknown
272386,920,926,1002,953,unknown
272491,905,910,997,946,unknown
272597,925,911,1003,944,unknown
272702,915,911,1007,945,unknown
272807,914,937,1009,949,unknown
272912,897,913,1002,947,unknown
273017,904,917,1006,936,unknown
273122,942,953,1005,944,unknown
273227,896,923,1014,941,unknown
273332,923,955,1013,100,unknown
273438,920,669,415,84,unknown
273543,894,951,291,91,unknown
273648,888,944,206,112,unknown
273753,882,940,200,100,unknown
273858,887,926,934,148,unknown
273963,910,918,961,866,unknown
274068,914,922,967,902,unknown
274174,940,988,996,936,unknown
274279,895,923,1003,906,unknown
274384,884,930,1007,910,unknown
274490,873,926,1003,922,unknown
274595,875,939,1009,922,unknown
274700,932,982,978,128,unknown
274805,905,939,1015,74,unknown
274911,909,933,1009,74,unknown
275016,906,919,1010,720,unknown
275121,888,919,1007,975,unknown
275226,894,914,1006,967,unknown
275332,896,919,1014,968,unknown
275437,946,962,1011,975,unknown
275542,930,925,1019,982,kick
275647,913,910,1016,960,kick
275752,898,914,1013,951,kick
275857,896,931,1017,953,kick
275962,954,969,1015,124,kick
276068,900,921,1021,66,kick
276173,913,923,1013,58,kick
276278,904,920,1012,58,kick
276383,903,930,1015,104,kick
276488,898,936,1016,949,kick
276594,897,932,1009,966,kick
276699,880,928,1008,947,kick
276804,886,917,1015,941,kick
276909,415,938,1010,965,kick
277015,888,952,1018,964,kick
277120,900,933,1020,959,kick
277225,898,932,1015,954,unknown
277330,897,920,1015,950,unknown
277435,889,921,1014,952,unknown
277540,893,920,1016,954,unknown
277646,907,932,1013,78,unknown
277751,902,915,1015,68,unknown
277856,898,927,1015,66,unknown
277961,891,924,1011,64,unknown
278066,905,924,1014,365,unknown
278172,891,920,1010,935,unknown
278277,879,921,1012,949,unknown
278382,877,913,1016,948,unknown
278488,873,916,1015,940,unknown
278593,890,918,1007,925,unknown
278698,958,953,1018,962,unknown
278804,905,928,1019,971,unknown
278909,902,910,1015,954,unknown
279014,912,910,1018,956,unknown
279119,900,913,1018,948,unknown
279224,903,913,1014,946,unknown
279329,934,959,1015,120,unknown
279435,897,896,1016,71,unknown
279540,887,895,1009,67,unknown
279645,886,894,1007,63,unknown
279750,883,898,1012,79,unknown
279855,876,899,1016,842,unknown
279960,865,891,1012,928,unknown
280066,875,894,1005,970,unknown
280171,881,913,1013,969,unknown
280276,943,983,996,983,unknown
280381,915,937,1006,968,unknown
280486,909,918,1002,956,unknown
280591,903,915,1003,948,unknown
280696,901,918,1006,954,unknown
280802,897,911,998,957,unknown
280907,894,907,997,952,unknown
281013,897,904,998,947,unknown
281118,891,905,1009,947,kick
281223,894,920,1008,952,kick
281328,890,909,1015,950,kick
281433,906,934,1002,135,kick
281539,904,901,990,83,kick
281644,899,895,982,80,kick
281749,894,898,979,84,kick
281854,893,900,997,90,kick
281960,907,907,1009,316,kick
282065,895,914,1006,871,kick
282170,884,894,1002,942,kick
282275,892,915,1006,932,kick
282381,898,923,1012,949,kick
282486,864,992,1012,971,kick
282591,876,943,1010,936,kick
282696,865,918,1016,930,kick
282802,857,917,1002,925,kick
282907,862,912,1007,923,kick
283012,855,916,1005,926,kick
283117,861,906,1001,927,kick
283222,862,916,1005,920,kick
283328,861,914,999,930,kick
283433,877,916,1003,923,kick
283538,873,918,1007,921,kick
283643,666,980,1005,981,kick
283749,872,933,1015,965,kick
283854,867,920,1007,942,kick
283959,850,922,1010,927,kick
284064,839,916,1016,921,kick
284169,846,933,1016,924,unknown
284275,844,921,1017,923,unknown
284380,836,907,1005,917,unknown
284485,950,943,1021,940,unknown
284591,442,902,1020,937,unknown
284695,889,903,1013,794,unknown
284801,889,947,1012,68,unknown
284906,876,922,1011,60,unknown
285011,873,909,1006,58,unknown
285116,871,920,1011,77,unknown
285221,860,907,1003,181,unknown
285326,855,908,1008,985,unknown
285432,851,907,1005,986,unknown
285537,849,932,1014,119,unknown
285642,842,915,1006,86,unknown
285747,847,918,1005,896,unknown
285852,855,926,1008,980,unknown
286168,871,924,1013,969,unknown
286273,875,918,1012,967,unknown
286379,863,909,1007,958,unknown
286484,866,903,1008,960,unknown
286589,862,892,1006,957,unknown
286694,861,888,1005,952,unknown
286799,859,888,1008,955,kick
286905,863,882,1005,957,kick
287010,862,882,1002,962,kick
287115,868,878,1002,964,kick
287220,869,893,1003,968,kick
287325,889,933,740,288,kick
287430,880,936,437,160,kick
287535,872,948,247,99,kick
287641,861,954,112,92,kick
287746,857,963,85,112,kick
287851,847,956,66,115,kick
287956,842,956,68,114,kick
288061,837,961,835,902,kick
288166,891,933,1013,884,kick
288271,877,942,1009,924,kick
288377,893,974,1010,980,kick
288482,818,932,1009,940,kick
288587,836,926,1012,938,kick
288693,847,914,1005,948,kick
288798,846,916,1002,942,kick
288903,847,906,1002,941,kick
289009,844,903,995,940,kick
289114,847,908,999,943,kick
289219,848,904,994,946,kick
289325,859,905,1000,941,kick
289430,862,921,1010,955,kick
289535,492,945,987,971,kick
289850,864,926,1004,938,kick
289955,853,926,1007,938,kick
290061,847,931,1010,937,kick
290166,840,924,1006,940,unknown
290271,845,916,998,935,unknown
290376,865,922,1012,935,unknown
290482,890,962,1009,956,unknown
290587,911,971,1009,975,unknown
290692,856,961,1010,958,unknown
290797,861,938,1011,954,unknown
290902,851,930,1009,935,unknown
291007,846,925,1003,932,unknown
291113,852,927,1000,928,unknown
291218,848,915,999,929,unknown
291323,868,939,1012,937,unknown
291428,888,945,1008,966,unknown
291533,886,957,1014,952,unknown
291638,846,948,1015,939,unknown
291743,843,929,1004,929,unknown
291849,840,935,1004,919,unknown
291954,843,940,1006,921,unknown
292059,856,949,1013,919,unknown
292164,837,917,1017,913,unknown
292269,831,912,1007,911,unknown
292374,827,914,1002,907,unknown
292479,821,907,998,906,unknown
292585,824,909,997,904,unknown
292690,835,911,1004,901,unknown
292796,841,918,1020,899,unknown
292901,861,959,570,151,unknown
293006,867,960,296,90,unknown
293112,857,954,384,77,unknown
