Timestamp,Sensor1,Sensor2,Sensor3,Sensor4,Label
193188,839,884,956,875,lifted
193293,838,884,953,879,lifted
193398,841,884,953,878,lifted
193503,840,884,954,877,lifted
193609,839,886,957,876,lifted
193714,840,885,954,877,lifted
193819,840,885,953,878,lifted
193925,840,883,956,875,lifted
194030,837,884,950,873,lifted
194135,840,886,950,874,lifted
194240,839,885,951,877,lifted
194346,839,885,952,873,lifted
194451,839,886,950,873,lifted
194556,839,885,954,874,lifted
194661,839,883,954,875,lifted
194766,839,884,951,872,lifted
194871,839,884,953,875,lifted
194977,840,884,953,874,lifted
195082,840,885,958,872,lifted
195187,840,886,953,874,lifted
195292,839,884,952,870,lifted
195397,839,883,953,872,lifted
195502,839,884,953,871,lifted
195607,838,883,956,872,lifted
195712,839,881,954,869,lifted
195818,838,883,951,871,lifted
195923,838,882,951,873,lifted
196029,838,884,946,874,lifted
196134,837,884,948,875,lifted
196239,839,884,949,876,lifted
196344,838,885,947,877,lifted
196450,838,884,948,874,lifted
196765,838,883,947,873,lifted
196870,838,881,945,872,lifted
196976,838,882,947,874,lifted
197081,839,883,943,876,lifted
197186,837,883,946,873,lifted
197291,837,882,946,871,lifted
197396,837,884,945,873,lifted
197501,838,882,943,872,lifted
197607,838,881,942,869,lifted
197712,838,882,944,869,lifted
197817,837,882,949,869,lifted
197923,837,883,947,870,lifted
198028,836,882,947,869,lifted
198133,837,882,950,868,lifted
198239,838,881,947,870,lifted
198344,837,880,946,868,lifted
198449,835,880,945,865,lifted
198554,837,881,946,867,lifted
198659,837,880,948,866,lifted
198765,837,879,952,866,lifted
198870,838,879,945,865,lifted
198975,837,878,946,868,lifted
199080,838,878,945,866,lifted
199186,837,878,946,869,lifted
199291,838,879,943,871,lifted
199396,837,878,944,869,lifted
199501,837,881,942,869,lifted
199606,835,880,945,866,lifted
199711,836,881,945,868,lifted
199816,835,879,948,868,lifted
200132,839,880,943,867,lifted
200237,837,878,945,867,lifted
200342,836,877,931,866,lifted
200447,836,879,933,870,lifted
200552,836,880,933,867,lifted
200658,836,880,935,862,lifted
200763,836,880,935,866,lifted
200868,836,880,934,865,lifted
200973,836,879,937,863,lifted
201078,835,878,936,864,lifted
201183,835,878,938,863,lifted
201288,836,878,936,861,lifted
201394,835,878,936,862,lifted
201499,832,878,938,860,lifted
201604,835,878,934,860,lifted
201710,835,878,936,860,lifted
201815,835,879,936,860,lifted
201920,837,879,934,863,lifted
202025,833,878,936,862,lifted
202130,837,878,933,862,lifted
202235,834,878,933,862,lifted
202341,835,878,934,861,lifted
202446,833,879,933,863,lifted
202551,833,878,931,862,lifted
202656,834,879,934,863,lifted
202761,835,879,933,863,lifted
202867,835,880,935,863,lifted
202972,836,880,934,863,lifted
203077,835,876,937,862,lifted
203182,836,882,935,863,lifted
203287,837,880,935,863,lifted
203393,837,879,941,863,lifted
203498,836,879,941,864,lifted
203603,837,878,943,864,lifted
203708,836,879,941,863,lifted
203813,836,878,940,862,lifted
203919,836,877,940,863,lifted
204024,835,877,940,862,lifted
204129,836,876,941,864,lifted
204234,835,877,939,861,lifted
204339,836,875,940,861,lifted
204444,835,877,938,860,lifted
204550,835,876,938,861,lifted
204655,836,876,936,860,lifted
204761,837,877,935,865,lifted
204866,837,877,934,862,lifted
205181,834,877,931,862,lifted
205287,834,876,931,863,lifted
205392,835,877,929,861,lifted
205497,835,877,928,861,lifted
205602,835,875,929,861,lifted
205707,835,876,930,859,lifted
205812,835,876,928,860,lifted
205918,835,878,929,860,lifted
206023,834,877,929,860,lifted
206128,834,877,931,855,lifted
206233,834,877,926,860,lifted
206338,835,878,929,860,lifted
206443,835,876,930,859,lifted
206548,834,876,932,858,lifted
206654,834,877,930,858,lifted
206759,835,876,931,858,lifted
206864,834,877,930,859,lifted
206969,834,877,933,860,lifted
207074,834,878,929,858,lifted
207179,835,879,930,860,lifted
207285,834,877,930,860,lifted
207390,834,877,930,860,lifted
207495,834,878,930,859,lifted
207600,833,876,933,859,lifted
207705,834,878,930,856,lifted
207810,834,878,931,857,lifted
207915,835,878,929,856,lifted
208021,832,877,928,855,lifted
208126,834,877,930,854,lifted
208231,833,879,932,854,lifted
208336,833,877,931,856,lifted
208442,834,877,930,857,lifted
208548,833,877,928,852,lifted
208863,833,878,930,853,lifted
208968,833,877,929,853,lifted
209073,835,879,931,855,lifted
209178,833,878,931,853,lifted
209284,834,878,930,854,lifted
209389,831,878,929,851,lifted
209494,831,876,932,852,lifted
209600,833,876,938,852,lifted
209705,830,878,938,853,lifted
209810,833,877,938,852,lifted
209915,832,877,940,853,lifted
210020,833,877,939,851,lifted
210126,833,880,937,851,lifted
210231,833,880,937,850,lifted
210336,834,879,939,852,lifted
210441,832,878,940,851,lifted
210546,833,878,937,851,lifted
210651,832,879,938,852,lifted
210756,831,877,939,855,lifted
210861,834,879,938,853,lifted
210966,831,877,939,853,lifted
211072,832,878,939,854,lifted
211177,833,877,939,852,lifted
211282,832,880,939,851,lifted
211388,832,878,940,852,lifted
211493,830,878,941,854,lifted
211598,833,879,938,853,lifted
211703,833,879,938,853,lifted
211809,832,878,937,854,lifted
212124,833,879,940,849,lifted
212229,833,879,940,853,lifted
212335,824,877,940,849,lifted
212440,832,877,941,849,lifted
212545,833,878,941,853,lifted
