Timestamp,Sensor1,Sensor2,Sensor3,Sensor4,Label
261706,767,765,829,41,onheels
261812,770,766,830,42,onheels
261917,768,765,830,42,onheels
262022,768,766,831,41,onheels
262127,768,766,830,37,onheels
262232,770,766,829,41,onheels
262338,767,765,828,41,onheels
262443,767,766,829,41,onheels
262548,768,765,827,38,onheels
262654,767,765,827,34,onheels
262759,766,766,827,41,onheels
262864,767,765,826,41,onheels
262969,764,765,826,40,onheels
263074,766,763,827,41,onheels
263179,767,768,826,40,onheels
263285,767,766,826,41,onheels
263390,767,764,825,40,onheels
263495,766,766,823,42,onheels
263600,769,766,824,39,onheels
263705,767,765,824,41,onheels
263758,768,766,824,41,onheels
263810,768,766,825,41,onheels
263916,767,765,825,41,onheels
264021,767,765,827,40,onheels
264126,766,767,826,38,onheels
264231,766,766,827,40,onheels
264336,771,767,828,41,onheels
264442,770,767,827,38,onheels
264547,769,767,827,39,onheels
264652,769,767,828,40,onheels
264757,768,767,828,41,onheels
264862,767,766,829,41,onheels
264967,768,764,826,42,onheels
265072,768,766,828,37,onheels
265178,766,767,826,40,onheels
265283,767,765,826,41,onheels
265388,767,766,826,40,onheels
265493,767,766,827,40,onheels
265598,765,767,828,43,onheels
265703,767,767,829,38,onheels
265756,767,767,830,39,onheels
265809,767,767,830,40,onheels
265914,767,767,828,40,onheels
266019,767,762,827,40,onheels
266125,766,767,827,40,onheels
266230,766,767,829,38,onheels
266335,767,766,828,42,onheels
266440,768,767,827,41,onheels
266545,768,766,827,41,onheels
266651,768,768,827,41,onheels
266756,768,767,827,42,onheels
266861,768,767,827,42,onheels
266966,769,765,829,40,onheels
267071,769,767,829,40,onheels
267176,769,768,833,41,onheels
267282,770,766,833,42,onheels
267387,769,767,833,41,onheels
267492,769,767,830,42,onheels
267598,769,768,831,41,onheels
267703,768,769,829,39,onheels
267756,768,768,828,40,onheels
267808,767,767,827,41,onheels
267913,768,766,827,42,onheels
268019,767,767,827,41,onheels
268124,768,767,831,41,onheels
268229,767,770,828,42,onheels
268335,766,767,831,43,onheels
268440,768,767,828,41,onheels
268545,768,767,829,40,onheels
268650,767,766,829,41,onheels
268755,767,767,828,40,onheels
268861,766,768,828,41,onheels
268966,765,766,826,40,onheels
269071,767,767,826,41,onheels
269176,768,767,826,39,onheels
269281,767,767,828,41,onheels
269386,768,769,826,41,onheels
269491,768,766,827,40,onheels
269596,766,768,826,40,onheels
269702,768,767,826,40,onheels
269754,768,767,826,40,onheels
269807,768,767,826,40,onheels
269912,769,768,827,40,onheels
270017,768,766,827,41,onheels
270123,767,768,826,40,onheels
270228,765,767,825,41,onheels
270333,766,767,826,39,onheels
270439,767,768,827,40,onheels
270544,766,767,826,40,onheels
270649,767,767,826,38,onheels
270754,767,767,825,42,onheels
270859,767,767,825,40,onheels
270964,766,767,826,40,onheels
271070,768,767,825,37,onheels
271175,766,764,824,38,onheels
271280,765,766,825,41,onheels
271385,765,764,825,41,onheels
271491,768,765,825,40,onheels
271597,768,771,826,40,onheels
271702,769,765,825,41,onheels
271754,768,766,825,41,onheels
271807,768,768,825,41,onheels
271912,769,767,826,39,onheels
272018,768,765,826,40,onheels
272123,770,766,827,41,onheels
272228,768,766,827,41,onheels
272333,768,765,827,41,onheels
272439,769,768,827,39,onheels
272544,769,766,827,40,onheels
272649,768,767,829,41,onheels
272754,769,767,827,41,onheels
272859,770,766,826,40,onheels
272965,769,766,827,40,onheels
273070,768,767,826,41,onheels
273175,769,766,826,42,onheels
273280,769,766,827,40,onheels
273385,769,768,826,40,onheels
273490,768,769,824,40,onheels
273596,767,766,825,40,onheels
273702,767,766,824,40,onheels
273754,766,766,824,40,onheels
273807,766,766,824,39,onheels
273913,766,767,824,40,onheels
274018,767,766,826,39,onheels
274123,766,768,825,40,onheels
274228,766,766,824,40,onheels
274333,766,765,824,39,onheels
274439,763,767,824,39,onheels
274544,765,769,826,39,onheels
274649,767,767,825,40,onheels
274754,767,766,824,40,onheels
274859,766,766,825,41,onheels
274965,766,767,826,39,onheels
275070,766,766,825,40,onheels
275175,768,766,827,42,onheels
275280,766,767,827,41,onheels
275386,762,766,829,40,onheels
275491,766,765,829,41,onheels
275596,767,765,829,41,onheels
275702,766,766,829,39,onheels
275754,766,766,829,40,onheels
275807,767,765,829,40,onheels
275912,766,765,828,42,onheels
276018,766,765,829,41,onheels
276123,766,768,828,42,onheels
276228,767,766,830,40,onheels
276333,766,765,829,41,onheels
276438,765,766,829,40,onheels
276544,765,767,830,41,onheels
276649,766,766,830,41,onheels
276754,766,766,827,41,onheels
276853,766,766,827,41,onheels
276951,766,766,827,41,onheels
277050,766,766,827,41,onheels
