Timestamp,Sensor1,Sensor2,Sensor3,Sensor4,Label
340720,836,846,333,713,ontoes
340825,829,849,335,718,ontoes
340931,823,845,370,719,ontoes
341036,822,842,347,715,ontoes
341141,831,840,332,715,ontoes
341247,834,843,353,715,ontoes
341352,829,845,340,712,ontoes
341457,846,848,336,708,ontoes
341562,838,865,314,705,ontoes
341667,835,855,311,705,ontoes
341772,839,851,321,704,ontoes
341878,838,849,315,704,ontoes
341983,836,851,298,701,ontoes
342088,835,852,350,701,ontoes
342193,835,851,342,698,ontoes
342298,832,847,359,697,ontoes
342404,833,848,347,699,ontoes
342509,833,845,346,696,ontoes
342614,834,843,315,696,ontoes
342719,831,842,352,694,ontoes
342772,830,838,334,694,ontoes
342824,828,835,317,694,ontoes
342929,831,835,368,693,ontoes
343034,831,831,358,690,ontoes
343140,827,833,353,691,ontoes
343245,829,837,350,692,ontoes
343351,827,836,326,692,ontoes
343456,831,833,313,690,ontoes
343561,833,832,290,689,ontoes
343666,831,834,319,688,ontoes
343771,828,835,300,689,ontoes
343876,830,838,304,687,ontoes
343982,826,831,305,684,ontoes
344087,825,829,330,685,ontoes
344192,825,827,316,686,ontoes
344298,823,827,298,685,ontoes
344403,822,827,299,684,ontoes
344508,822,823,315,684,ontoes
344613,821,830,321,686,ontoes
344719,820,835,308,685,ontoes
344772,820,835,307,684,ontoes
344824,820,835,306,684,ontoes
344929,817,833,308,681,ontoes
345034,817,830,293,683,ontoes
345140,819,836,312,685,ontoes
345245,819,835,313,682,ontoes
345350,820,833,308,682,ontoes
345455,823,830,290,683,ontoes
345561,824,833,292,682,ontoes
345666,820,833,309,686,ontoes
345771,817,831,293,681,ontoes
345876,820,828,297,678,ontoes
345981,819,829,272,680,ontoes
346086,819,827,289,679,ontoes
346192,821,829,306,680,ontoes
346297,825,836,303,681,ontoes
346402,824,829,293,679,ontoes
346508,817,828,302,679,ontoes
346613,822,826,314,679,ontoes
346718,816,829,297,680,ontoes
346771,814,828,299,680,ontoes
