Timestamp,Sensor1,Sensor2,Sensor3,Sensor4,Label
22090,915,938,1003,937,unknown
22196,907,945,1007,938,unknown
22301,892,939,1005,951,unknown
22406,903,950,1005,948,unknown
22511,892,959,999,941,unknown
22616,914,950,992,927,unknown
22721,896,960,992,914,unknown
22826,877,957,996,906,unknown
23142,895,957,1007,914,unknown
23247,889,955,1011,933,unknown
23353,956,959,1009,975,unknown
23458,945,949,1009,1002,unknown
23563,957,957,1013,991,unknown
23669,941,941,1013,964,unknown
23774,928,956,1019,940,unknown
23879,920,953,1015,832,unknown
23984,941,957,879,943,unknown
24089,916,950,358,946,unknown
24194,913,956,607,940,unknown
24299,922,971,1008,934,unknown
24405,920,965,1014,933,unknown
24510,893,958,1014,915,unknown
24616,882,972,1017,411,unknown
24721,898,952,1020,246,unknown
24826,876,959,1020,293,unknown
24931,876,959,1020,324,unknown
25036,870,952,1019,375,unknown
25142,867,951,1019,380,unknown
25247,860,950,1018,358,unknown
25352,860,954,1019,381,unknown
25458,861,957,1019,359,unknown
25563,855,959,1022,267,unknown
25668,865,959,1020,203,unknown
25774,876,964,1012,949,unknown
25879,896,983,1001,937,unknown
25984,883,963,1013,933,unknown
26089,877,961,850,985,unknown
26195,946,988,1019,982,unknown
26300,920,962,1017,967,unknown
26406,911,969,1008,969,unknown
26511,898,982,1013,952,unknown
26616,881,952,1021,943,unknown
26721,876,966,1022,958,unknown
26826,878,957,1017,950,unknown
26931,868,944,1017,952,unknown
27037,864,959,1021,957,unknown
27142,874,968,1021,956,unknown
27247,905,964,1015,954,unknown
27352,946,969,1019,963,unknown
27457,950,963,1020,959,unknown
27563,939,959,913,221,unknown
27668,947,963,833,117,unknown
27773,945,970,775,98,unknown
27878,941,969,751,85,unknown
27983,938,965,750,86,unknown
28088,929,965,646,85,unknown
28193,925,963,648,80,unknown
28299,929,966,728,72,unknown
28404,930,963,698,70,unknown
28509,928,960,725,69,unknown
28614,926,969,827,72,unknown
28719,914,965,961,76,unknown
28825,918,973,727,343,unknown
28930,929,954,1002,906,unknown
29035,924,955,1005,916,unknown
29140,898,950,1006,921,unknown
29245,940,957,999,953,unknown
29350,943,961,999,978,unknown
29456,930,952,996,954,unknown
29561,927,954,1003,931,trick
29666,929,959,1006,936,trick
29771,924,966,1008,791,trick
29876,923,955,1008,208,trick
29981,933,955,1006,173,trick
30087,929,970,535,922,trick
30192,906,978,985,924,trick
30298,882,964,1011,947,trick
30403,918,624,1018,958,trick
30508,898,978,1019,949,trick
30613,948,957,1018,946,trick
30719,894,927,1011,932,unknown
30824,901,937,1000,927,unknown
30929,909,910,982,931,unknown
31035,888,906,977,930,unknown
31140,902,930,969,920,unknown
31245,897,980,965,915,unknown
31350,903,977,977,917,unknown
31455,875,982,994,928,unknown
31561,898,989,1014,953,unknown
31666,916,960,1016,947,unknown
31771,928,966,1015,945,unknown
31876,940,954,1017,265,unknown
31981,959,957,1022,110,unknown
32087,943,956,903,89,unknown
32193,929,959,964,84,unknown
32298,934,960,1016,97,unknown
32403,923,953,1021,73,unknown
32508,915,949,1021,64,unknown
32613,915,944,1022,64,unknown
32718,915,940,1022,68,unknown
32824,910,940,1021,70,unknown
32929,914,943,1021,75,unknown
33035,914,943,1019,70,unknown
33140,906,945,1021,65,unknown
33245,901,938,1020,76,unknown
33350,894,940,1021,79,unknown
33455,897,953,1022,100,unknown
33560,899,959,1022,891,unknown
33666,892,957,1020,965,unknown
33771,906,955,1021,950,unknown
33876,902,949,1020,959,unknown
33981,888,947,1019,941,unknown
34086,909,955,1021,953,unknown
34191,949,958,1020,961,unknown
34297,945,957,1018,964,unknown
34402,940,952,1021,945,trick
34507,916,951,1015,932,trick
34612,910,940,1016,935,trick
34718,910,946,1019,722,trick
34823,919,947,1021,183,trick
34928,941,969,1022,330,trick
35033,927,976,765,916,trick
35139,901,972,1001,960,trick
35244,913,626,1021,945,trick
35349,898,969,1018,941,trick
35454,896,633,1019,919,trick
35560,914,977,1008,936,trick
35665,907,909,1001,930,trick
35770,901,951,990,929,trick
35875,892,816,987,912,trick
35981,893,688,973,911,trick
36086,874,608,965,916,trick
36191,874,581,966,921,trick
36296,893,541,974,929,trick
36401,897,660,989,939,trick
36506,907,833,1011,935,trick
