Timestamp,Sensor1,Sensor2,Sensor3,Sensor4,Label
134126,859,937,498,972,walking
134231,908,949,960,979,walking
134336,908,926,949,951,walking
134441,899,914,960,941,walking
134547,871,908,984,946,walking
134651,867,931,996,958,walking
134757,926,951,981,112,walking
134862,888,910,128,185,walking
134967,889,913,66,249,walking
135072,893,927,49,642,walking
135177,869,915,372,908,walking
135282,888,937,883,976,walking
135387,893,940,1007,984,walking
135493,889,899,965,948,walking
135598,889,889,974,945,walking
135703,872,920,1000,961,walking
135808,872,920,1002,943,walking
135913,883,936,230,150,walking
136228,880,924,61,773,walking
136334,867,933,831,895,walking
136439,904,961,891,958,walking
136544,908,928,965,961,walking
136649,909,921,956,946,walking
136755,879,922,983,932,walking
136860,865,934,998,952,walking
137176,882,929,74,202,walking
137281,891,934,51,460,walking
137386,880,926,68,832,walking
137491,879,933,813,910,walking
137596,910,953,975,973,walking
137702,907,903,983,956,walking
137807,894,908,996,943,walking
137912,865,902,1000,940,walking
138017,866,930,1010,963,walking
138332,883,924,99,112,walking
138437,882,929,69,201,walking
138543,882,930,56,655,walking
138648,880,928,762,890,walking
138753,908,951,822,951,walking
138858,910,939,955,951,walking
138963,910,910,964,955,walking
139803,882,920,572,882,walking
139908,882,935,522,914,walking
140013,898,942,962,957,walking
140118,891,934,976,942,walking
140223,897,916,1000,947,walking
140328,871,906,1001,939,walking
140434,866,921,1008,947,walking
140539,889,946,1014,118,walking
140644,869,938,175,148,walking
140749,879,932,62,189,walking
141064,883,939,863,961,walking
141169,892,942,774,963,walking
141275,875,932,997,946,walking
141380,870,905,992,931,walking
141485,862,903,1006,926,walking
141590,853,906,1009,941,walking
141695,852,922,1007,358,walking
142220,866,929,653,959,walking
142325,874,933,542,964,walking
142430,902,943,981,962,walking
142535,891,919,989,940,walking
142640,880,916,999,936,walking
142746,872,910,1010,949,walking
142852,877,924,1015,964,walking
142957,884,953,564,123,walking
143062,853,940,198,101,walking
143167,867,951,68,245,walking
143273,880,938,75,708,walking
143378,876,938,419,954,walking
143483,867,945,353,946,walking
143589,910,951,965,968,walking
143694,896,933,1016,943,walking
144009,871,934,1009,948,walking
144114,889,940,1007,128,walking
144220,851,941,294,107,walking
144325,843,936,136,91,walking
